Home Team,Away Team,Link,Season,Round,League
Guingamp,Toulouse,https://www.besoccer.com/match/guingamp/toulouse-fc/202217078,2022,32,ligue_2
Ajaccio,Pau FC,https://www.besoccer.com/match/ajaccio/pau/202217074,2022,32,ligue_2
Amiens SC,Bastia,https://www.besoccer.com/match/amiens-sc/bastia/202217075,2022,32,ligue_2
Auxerre,Valenciennes,https://www.besoccer.com/match/auxerre/valenciennes-afc/202217076,2022,32,ligue_2
Grenoble,Caen,https://www.besoccer.com/match/grenoble-foot-38/caen/202217077,2022,32,ligue_2
Le Havre,Dunkerque,https://www.besoccer.com/match/havre-ac/dunkerque/202217079,2022,32,ligue_2
Niort,Nîmes,https://www.besoccer.com/match/chamois-niortais/nimes-olympique/202217080,2022,32,ligue_2
Quevilly-Rouen,Rodez,https://www.besoccer.com/match/quevilly/rodez/202217082,2022,32,ligue_2
Sochaux,Nancy,https://www.besoccer.com/match/sochaux/nancy/202217083,2022,32,ligue_2
Paris FC,Dijon FCO,https://www.besoccer.com/match/paris-sg/dijon-fco/202217081,2022,32,ligue_2
