,Home_Team,Away_Team,Link,Season,Round,League
0,Stade Rennais,Monaco,https://www.besoccer.com/match/stade-rennes/monaco/202216043,2022,32,ligue_1
1,Saint-Étienne,Stade Brestois,https://www.besoccer.com/match/saint-etienne/stade-brestois-29/202216045,2022,32,ligue_1
2,Lille,Lens,https://www.besoccer.com/match/lillestrom/lens/202215968,2022,32,ligue_1
3,Nice,Lorient,https://www.besoccer.com/match/nice/lorient/202216038,2022,32,ligue_1
4,Metz,Clermont,https://www.besoccer.com/match/metz/clermont-foot/202215972,2022,32,ligue_1
5,Montpellier,Stade de Reims,https://www.besoccer.com/match/montpellier-hsc/stade-reims/202215974,2022,32,ligue_1
6,Nantes,Angers SCO,https://www.besoccer.com/match/nantes/angers-sco/202215976,2022,32,ligue_1
7,Troyes,Strasbourg,https://www.besoccer.com/match/troyes/strasbourg/202216047,2022,32,ligue_1
8,Olympique Lyonnais,Girondins Bordeaux,https://www.besoccer.com/match/olympique-lyonnais/bordeaux/202215970,2022,32,ligue_1
9,PSG,Olympique Marseille,https://www.besoccer.com/match/paris-saint-germain-fc/olympique-marsella/202216041,2022,32,ligue_1
