,Home_Team,Away_Team,Result,Link,Season,Round,League
0,RBC Roosendaal,TOP Oss,3-1,https://www.besoccer.com/match/rbc/fc-oss/200722074,2007,1,eerste_divisie
1,De Graafschap,Go Ahead Eagles,0-1,https://www.besoccer.com/match/graafschap/go-ahead-eagles/200722075,2007,1,eerste_divisie
2,BV Veendam ,Emmen,1-1,https://www.besoccer.com/match/veendam/emmen/200722076,2007,1,eerste_divisie
3,AGOVV Apeldoorn,Cambuur,3-1,https://www.besoccer.com/match/agovv-apeldoorn/sc-cambuur-leeuwarden/200722077,2007,1,eerste_divisie
4,VVV Venlo,FC Eindhoven,1-1,https://www.besoccer.com/match/vvv/fc-eindhoven/200722078,2007,1,eerste_divisie
5,Helmond Sport,MVV Maastricht,1-1,https://www.besoccer.com/match/helmond-sport/mvv/200722079,2007,1,eerste_divisie
6,HFC Haarlem ,FC Volendam,1-1,https://www.besoccer.com/match/haarlem/fc-volendam/200722080,2007,1,eerste_divisie
7,Fortuna Sittard,PEC Zwolle,0-0,https://www.besoccer.com/match/fortuna-sittard/fc-zwolle/200722081,2007,1,eerste_divisie
8,Dordrecht,FC Omniworld,3-0,https://www.besoccer.com/match/fc-dordrecht/omniworld/200722082,2007,1,eerste_divisie
9,Den Bosch,SC Telstar,2-0,https://www.besoccer.com/match/fc-den-bosch/stormvogels-telstar/200722083,2007,1,eerste_divisie
10,MVV Maastricht,VVV Venlo,0-0,https://www.besoccer.com/match/mvv/vvv/200722064,2007,2,eerste_divisie
11,SC Telstar,Helmond Sport,2-1,https://www.besoccer.com/match/stormvogels-telstar/helmond-sport/200722065,2007,2,eerste_divisie
12,Emmen,AGOVV Apeldoorn,3-2,https://www.besoccer.com/match/emmen/agovv-apeldoorn/200722066,2007,2,eerste_divisie
13,FC Eindhoven,RBC Roosendaal,2-2,https://www.besoccer.com/match/fc-eindhoven/rbc/200722067,2007,2,eerste_divisie
14,FC Omniworld,Den Bosch,1-4,https://www.besoccer.com/match/omniworld/fc-den-bosch/200722068,2007,2,eerste_divisie
15,FC Volendam,De Graafschap,2-1,https://www.besoccer.com/match/fc-volendam/graafschap/200722069,2007,2,eerste_divisie
16,PEC Zwolle,Dordrecht,1-1,https://www.besoccer.com/match/fc-zwolle/fc-dordrecht/200722070,2007,2,eerste_divisie
17,TOP Oss,HFC Haarlem ,1-6,https://www.besoccer.com/match/fc-oss/haarlem/200722071,2007,2,eerste_divisie
18,Go Ahead Eagles,Fortuna Sittard,3-1,https://www.besoccer.com/match/go-ahead-eagles/fortuna-sittard/200722072,2007,2,eerste_divisie
