,Home_Team,Away_Team,Result,Link,Season,Round,League
0,BV Veendam ,Den Bosch,1-0,https://www.besoccer.com/match/veendam/fc-den-bosch/199718893,1997,1,eerste_divisie
1,MVV Maastricht,Excelsior,3-0,https://www.besoccer.com/match/mvv/excelsior/199718894,1997,1,eerste_divisie
2,Dordrecht,SC Telstar,2-1,https://www.besoccer.com/match/fc-dordrecht/stormvogels-telstar/199718895,1997,1,eerste_divisie
3,HFC Haarlem ,FC Eindhoven,1-2,https://www.besoccer.com/match/haarlem/fc-eindhoven/199718896,1997,1,eerste_divisie
4,Go Ahead Eagles,RBC Roosendaal,2-0,https://www.besoccer.com/match/go-ahead-eagles/rbc/199718897,1997,1,eerste_divisie
5,Emmen,PEC Zwolle,4-1,https://www.besoccer.com/match/emmen/fc-zwolle/199718898,1997,1,eerste_divisie
6,Heracles,ADO Den Haag,1-1,https://www.besoccer.com/match/heracles/ado-den-haag/199718899,1997,1,eerste_divisie
7,Helmond Sport,TOP Oss,1-2,https://www.besoccer.com/match/helmond-sport/fc-oss/199718900,1997,1,eerste_divisie
8,FC Eindhoven,MVV Maastricht,1-1,https://www.besoccer.com/match/fc-eindhoven/mvv/199718901,1997,1,eerste_divisie
9,BV Veendam ,Helmond Sport,0-0,https://www.besoccer.com/match/veendam/helmond-sport/199718902,1997,2,eerste_divisie
10,SC Telstar,Go Ahead Eagles,2-4,https://www.besoccer.com/match/stormvogels-telstar/go-ahead-eagles/199718903,1997,2,eerste_divisie
11,TOP Oss,Heracles,3-1,https://www.besoccer.com/match/fc-oss/heracles/199718904,1997,2,eerste_divisie
12,VVV Venlo,Dordrecht,2-1,https://www.besoccer.com/match/vvv/fc-dordrecht/199718905,1997,2,eerste_divisie
13,Excelsior,Cambuur,0-0,https://www.besoccer.com/match/excelsior/sc-cambuur-leeuwarden/199718906,1997,2,eerste_divisie
14,PEC Zwolle,Den Bosch,1-0,https://www.besoccer.com/match/fc-zwolle/fc-den-bosch/199718907,1997,2,eerste_divisie
15,RBC Roosendaal,Emmen,2-4,https://www.besoccer.com/match/rbc/emmen/199718908,1997,2,eerste_divisie
16,ADO Den Haag,HFC Haarlem ,1-0,https://www.besoccer.com/match/ado-den-haag/haarlem/199718909,1997,2,eerste_divisie
17,Dordrecht,Excelsior,2-1,https://www.besoccer.com/match/fc-dordrecht/excelsior/199718910,1997,2,eerste_divisie
18,RBC Roosendaal,Den Bosch,2-1,https://www.besoccer.com/match/rbc/fc-den-bosch/199718911,1997,3,eerste_divisie
19,MVV Maastricht,ADO Den Haag,3-1,https://www.besoccer.com/match/mvv/ado-den-haag/199718912,1997,3,eerste_divisie
20,FC Eindhoven,Cambuur,0-0,https://www.besoccer.com/match/fc-eindhoven/sc-cambuur-leeuwarden/199718913,1997,3,eerste_divisie
21,HFC Haarlem ,TOP Oss,1-1,https://www.besoccer.com/match/haarlem/fc-oss/199718914,1997,3,eerste_divisie
22,Go Ahead Eagles,VVV Venlo,1-0,https://www.besoccer.com/match/go-ahead-eagles/vvv/199718915,1997,3,eerste_divisie
23,Emmen,SC Telstar,5-1,https://www.besoccer.com/match/emmen/stormvogels-telstar/199718916,1997,3,eerste_divisie
24,Heracles,Helmond Sport,4-1,https://www.besoccer.com/match/heracles/helmond-sport/199718917,1997,3,eerste_divisie
25,PEC Zwolle,BV Veendam ,1-1,https://www.besoccer.com/match/fc-zwolle/veendam/199718918,1997,3,eerste_divisie
26,Dordrecht,FC Eindhoven,0-0,https://www.besoccer.com/match/fc-dordrecht/fc-eindhoven/199718919,1997,3,eerste_divisie
27,BV Veendam ,Heracles,2-0,https://www.besoccer.com/match/veendam/heracles/199718920,1997,4,eerste_divisie
28,SC Telstar,Den Bosch,2-3,https://www.besoccer.com/match/stormvogels-telstar/fc-den-bosch/199718921,1997,4,eerste_divisie
29,TOP Oss,MVV Maastricht,1-1,https://www.besoccer.com/match/fc-oss/mvv/199718922,1997,4,eerste_divisie
30,Emmen,VVV Venlo,0-0,https://www.besoccer.com/match/emmen/vvv/199718923,1997,4,eerste_divisie
31,Helmond Sport,HFC Haarlem ,1-0,https://www.besoccer.com/match/helmond-sport/haarlem/199718924,1997,4,eerste_divisie
32,PEC Zwolle,RBC Roosendaal,2-0,https://www.besoccer.com/match/fc-zwolle/rbc/199718925,1997,4,eerste_divisie
33,ADO Den Haag,Cambuur,1-0,https://www.besoccer.com/match/ado-den-haag/sc-cambuur-leeuwarden/199718926,1997,4,eerste_divisie
34,Excelsior,Go Ahead Eagles,0-1,https://www.besoccer.com/match/excelsior/go-ahead-eagles/199718927,1997,4,eerste_divisie
35,Cambuur,VVV Venlo,2-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/vvv/199718928,1997,4,eerste_divisie
36,MVV Maastricht,Helmond Sport,3-2,https://www.besoccer.com/match/mvv/helmond-sport/199718929,1997,5,eerste_divisie
