,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Dordrecht,MVV Maastricht,2-1,https://www.besoccer.com/match/fc-dordrecht/mvv/201419097,2014,1,eerste_divisie
1,FC Eindhoven,VVV Venlo,0-0,https://www.besoccer.com/match/fc-eindhoven/vvv/201419098,2014,1,eerste_divisie
2,Excelsior,Helmond Sport,2-2,https://www.besoccer.com/match/excelsior/helmond-sport/201419099,2014,1,eerste_divisie
3,Fortuna Sittard,De Graafschap,2-0,https://www.besoccer.com/match/fortuna-sittard/graafschap/201419100,2014,1,eerste_divisie
4,Sparta Rotterdam,Jong PSV,2-2,https://www.besoccer.com/match/sparta-rotterdam/jong-psv/201419103,2014,1,eerste_divisie
5,Almere City,FC Volendam,2-3,https://www.besoccer.com/match/almere-city/fc-volendam/201419102,2014,1,eerste_divisie
6,Emmen,Achilles 29,2-2,https://www.besoccer.com/match/emmen/achilles-29/201419106,2014,1,eerste_divisie
7,Willem II,Den Bosch,2-2,https://www.besoccer.com/match/willem-ii/fc-den-bosch/201419104,2014,1,eerste_divisie
8,Jong Ajax,SC Telstar,2-0,https://www.besoccer.com/match/jong-ajax/stormvogels-telstar/201419101,2014,1,eerste_divisie
9,Jong Twente,TOP Oss,3-0,https://www.besoccer.com/match/jong-twente/fc-oss/201419105,2014,1,eerste_divisie
10,Den Bosch,Fortuna Sittard,0-0,https://www.besoccer.com/match/fc-den-bosch/fortuna-sittard/201419107,2014,2,eerste_divisie
11,VVV Venlo,Willem II,2-0,https://www.besoccer.com/match/vvv/willem-ii/201419108,2014,2,eerste_divisie
12,TOP Oss,Jong Ajax,2-0,https://www.besoccer.com/match/fc-oss/jong-ajax/201419109,2014,2,eerste_divisie
13,SC Telstar,Emmen,3-2,https://www.besoccer.com/match/stormvogels-telstar/emmen/201419110,2014,2,eerste_divisie
14,Helmond Sport,FC Eindhoven,1-2,https://www.besoccer.com/match/helmond-sport/fc-eindhoven/201419111,2014,2,eerste_divisie
15,MVV Maastricht,Jong Twente,1-0,https://www.besoccer.com/match/mvv/jong-twente/201419112,2014,2,eerste_divisie
16,De Graafschap,Almere City,1-0,https://www.besoccer.com/match/graafschap/almere-city/201419113,2014,2,eerste_divisie
17,Achilles 29,Dordrecht,1-4,https://www.besoccer.com/match/achilles-29/fc-dordrecht/201419114,2014,2,eerste_divisie
18,FC Volendam,Sparta Rotterdam,1-1,https://www.besoccer.com/match/fc-volendam/sparta-rotterdam/201419115,2014,2,eerste_divisie
19,Jong PSV,Excelsior,1-1,https://www.besoccer.com/match/jong-psv/excelsior/201419116,2014,2,eerste_divisie
20,Dordrecht,Almere City,2-1,https://www.besoccer.com/match/fc-dordrecht/almere-city/201419117,2014,3,eerste_divisie
21,MVV Maastricht,Jong Ajax,1-0,https://www.besoccer.com/match/mvv/jong-ajax/201419118,2014,3,eerste_divisie
22,Excelsior,Willem II,1-2,https://www.besoccer.com/match/excelsior/willem-ii/201419119,2014,3,eerste_divisie
23,SC Telstar,FC Eindhoven,3-0,https://www.besoccer.com/match/stormvogels-telstar/fc-eindhoven/201419120,2014,3,eerste_divisie
24,Helmond Sport,De Graafschap,1-1,https://www.besoccer.com/match/helmond-sport/graafschap/201419121,2014,3,eerste_divisie
25,Fortuna Sittard,FC Volendam,2-3,https://www.besoccer.com/match/fortuna-sittard/fc-volendam/201419123,2014,3,eerste_divisie
26,Emmen,Den Bosch,0-0,https://www.besoccer.com/match/emmen/fc-den-bosch/201419122,2014,3,eerste_divisie
27,Sparta Rotterdam,VVV Venlo,1-0,https://www.besoccer.com/match/sparta-rotterdam/vvv/201419124,2014,3,eerste_divisie
28,Achilles 29,Jong Twente,2-3,https://www.besoccer.com/match/achilles-29/jong-twente/201419125,2014,3,eerste_divisie
29,Jong PSV,TOP Oss,4-0,https://www.besoccer.com/match/jong-psv/fc-oss/201419126,2014,3,eerste_divisie
30,Willem II,Sparta Rotterdam,3-0,https://www.besoccer.com/match/willem-ii/sparta-rotterdam/201419127,2014,4,eerste_divisie
31,FC Eindhoven,MVV Maastricht,3-2,https://www.besoccer.com/match/fc-eindhoven/mvv/201419128,2014,4,eerste_divisie
32,Excelsior,Dordrecht,1-1,https://www.besoccer.com/match/excelsior/fc-dordrecht/201419129,2014,4,eerste_divisie
33,TOP Oss,Fortuna Sittard,1-0,https://www.besoccer.com/match/fc-oss/fortuna-sittard/201419130,2014,4,eerste_divisie
34,VVV Venlo,Helmond Sport,3-2,https://www.besoccer.com/match/vvv/helmond-sport/201419133,2014,4,eerste_divisie
35,De Graafschap,Jong PSV,3-0,https://www.besoccer.com/match/graafschap/jong-psv/201419132,2014,4,eerste_divisie
36,Almere City,Achilles 29,3-1,https://www.besoccer.com/match/almere-city/achilles-29/201419131,2014,4,eerste_divisie
37,FC Volendam,SC Telstar,1-2,https://www.besoccer.com/match/fc-volendam/stormvogels-telstar/201419134,2014,4,eerste_divisie
38,Jong Twente,Den Bosch,0-0,https://www.besoccer.com/match/jong-twente/fc-den-bosch/201419135,2014,4,eerste_divisie
39,Jong Ajax,Emmen,1-1,https://www.besoccer.com/match/jong-ajax/emmen/201419136,2014,4,eerste_divisie
40,Emmen,Excelsior,1-0,https://www.besoccer.com/match/emmen/excelsior/201419137,2014,5,eerste_divisie
41,Sparta Rotterdam,TOP Oss,2-0,https://www.besoccer.com/match/sparta-rotterdam/fc-oss/201419138,2014,5,eerste_divisie
42,Dordrecht,Jong PSV,2-0,https://www.besoccer.com/match/fc-dordrecht/jong-psv/201419139,2014,5,eerste_divisie
43,Willem II,FC Volendam,2-0,https://www.besoccer.com/match/willem-ii/fc-volendam/201419140,2014,5,eerste_divisie
44,MVV Maastricht,VVV Venlo,1-3,https://www.besoccer.com/match/mvv/vvv/201419141,2014,5,eerste_divisie
45,Achilles 29,Helmond Sport,2-3,https://www.besoccer.com/match/achilles-29/helmond-sport/201419142,2014,5,eerste_divisie
46,FC Eindhoven,Fortuna Sittard,3-1,https://www.besoccer.com/match/fc-eindhoven/fortuna-sittard/201419143,2014,5,eerste_divisie
47,Den Bosch,De Graafschap,2-2,https://www.besoccer.com/match/fc-den-bosch/graafschap/201419144,2014,5,eerste_divisie
48,Jong Ajax,Jong Twente,2-1,https://www.besoccer.com/match/jong-ajax/jong-twente/201419145,2014,5,eerste_divisie
49,Almere City,SC Telstar,1-1,https://www.besoccer.com/match/almere-city/stormvogels-telstar/201419146,2014,5,eerste_divisie
50,FC Volendam,FC Eindhoven,1-3,https://www.besoccer.com/match/fc-volendam/fc-eindhoven/201419147,2014,6,eerste_divisie
51,Jong PSV,Jong Ajax,2-4,https://www.besoccer.com/match/jong-psv/jong-ajax/201419148,2014,6,eerste_divisie
52,Excelsior,Sparta Rotterdam,1-0,https://www.besoccer.com/match/excelsior/sparta-rotterdam/201419149,2014,6,eerste_divisie
53,De Graafschap,Dordrecht,1-2,https://www.besoccer.com/match/graafschap/fc-dordrecht/201419150,2014,6,eerste_divisie
54,VVV Venlo,Den Bosch,3-0,https://www.besoccer.com/match/vvv/fc-den-bosch/201419151,2014,6,eerste_divisie
55,TOP Oss,Achilles 29,0-1,https://www.besoccer.com/match/fc-oss/achilles-29/201419152,2014,6,eerste_divisie
56,SC Telstar,MVV Maastricht,2-1,https://www.besoccer.com/match/stormvogels-telstar/mvv/201419153,2014,6,eerste_divisie
57,Jong Twente,Almere City,0-0,https://www.besoccer.com/match/jong-twente/almere-city/201419154,2014,6,eerste_divisie
58,Fortuna Sittard,Willem II,3-1,https://www.besoccer.com/match/fortuna-sittard/willem-ii/201419155,2014,6,eerste_divisie
59,Helmond Sport,Emmen,5-2,https://www.besoccer.com/match/helmond-sport/emmen/201419156,2014,6,eerste_divisie
60,Den Bosch,FC Volendam,2-4,https://www.besoccer.com/match/fc-den-bosch/fc-volendam/201419157,2014,7,eerste_divisie
61,Almere City,Sparta Rotterdam,2-4,https://www.besoccer.com/match/almere-city/sparta-rotterdam/201419161,2014,7,eerste_divisie
62,Dordrecht,VVV Venlo,5-0,https://www.besoccer.com/match/fc-dordrecht/vvv/201419159,2014,7,eerste_divisie
63,De Graafschap,SC Telstar,3-0,https://www.besoccer.com/match/graafschap/stormvogels-telstar/201419160,2014,7,eerste_divisie
64,MVV Maastricht,Excelsior,0-1,https://www.besoccer.com/match/mvv/excelsior/201419163,2014,7,eerste_divisie
65,Willem II,Jong PSV,2-0,https://www.besoccer.com/match/willem-ii/jong-psv/201419162,2014,7,eerste_divisie
66,Fortuna Sittard,Helmond Sport,5-2,https://www.besoccer.com/match/fortuna-sittard/helmond-sport/201419158,2014,7,eerste_divisie
67,Achilles 29,Jong Ajax,2-1,https://www.besoccer.com/match/achilles-29/jong-ajax/201419164,2014,7,eerste_divisie
68,FC Eindhoven,Jong Twente,2-0,https://www.besoccer.com/match/fc-eindhoven/jong-twente/201419165,2014,7,eerste_divisie
69,Emmen,TOP Oss,5-0,https://www.besoccer.com/match/emmen/fc-oss/201419166,2014,7,eerste_divisie
70,Sparta Rotterdam,FC Eindhoven,1-1,https://www.besoccer.com/match/sparta-rotterdam/fc-eindhoven/201419167,2014,8,eerste_divisie
71,FC Volendam,Excelsior,2-2,https://www.besoccer.com/match/fc-volendam/excelsior/201419168,2014,8,eerste_divisie
72,MVV Maastricht,Almere City,2-1,https://www.besoccer.com/match/mvv/almere-city/201419169,2014,8,eerste_divisie
73,VVV Venlo,De Graafschap,0-4,https://www.besoccer.com/match/vvv/graafschap/201419170,2014,8,eerste_divisie
74,Helmond Sport,Dordrecht,2-1,https://www.besoccer.com/match/helmond-sport/fc-dordrecht/201419171,2014,8,eerste_divisie
75,SC Telstar,Achilles 29,4-0,https://www.besoccer.com/match/stormvogels-telstar/achilles-29/201419172,2014,8,eerste_divisie
76,TOP Oss,Den Bosch,0-1,https://www.besoccer.com/match/fc-oss/fc-den-bosch/201419174,2014,8,eerste_divisie
77,Jong Ajax,Willem II,1-1,https://www.besoccer.com/match/jong-ajax/willem-ii/201419173,2014,8,eerste_divisie
78,Jong PSV,Fortuna Sittard,0-0,https://www.besoccer.com/match/jong-psv/fortuna-sittard/201419175,2014,8,eerste_divisie
79,Jong Twente,Emmen,1-2,https://www.besoccer.com/match/jong-twente/emmen/201419176,2014,8,eerste_divisie
80,Emmen,VVV Venlo,2-0,https://www.besoccer.com/match/emmen/vvv/201419177,2014,9,eerste_divisie
81,FC Volendam,Helmond Sport,0-3,https://www.besoccer.com/match/fc-volendam/helmond-sport/201419178,2014,9,eerste_divisie
82,Dordrecht,Willem II,0-2,https://www.besoccer.com/match/fc-dordrecht/willem-ii/201419179,2014,9,eerste_divisie
83,Achilles 29,MVV Maastricht,0-2,https://www.besoccer.com/match/achilles-29/mvv/201419180,2014,9,eerste_divisie
84,FC Eindhoven,Jong Ajax,1-2,https://www.besoccer.com/match/fc-eindhoven/jong-ajax/201419181,2014,9,eerste_divisie
85,Den Bosch,Jong PSV,2-1,https://www.besoccer.com/match/fc-den-bosch/jong-psv/201419182,2014,9,eerste_divisie
86,Excelsior,SC Telstar,1-1,https://www.besoccer.com/match/excelsior/stormvogels-telstar/201419183,2014,9,eerste_divisie
87,De Graafschap,Jong Twente,3-3,https://www.besoccer.com/match/graafschap/jong-twente/201419184,2014,9,eerste_divisie
88,Almere City,TOP Oss,4-1,https://www.besoccer.com/match/almere-city/fc-oss/201419185,2014,9,eerste_divisie
89,Fortuna Sittard,Sparta Rotterdam,0-3,https://www.besoccer.com/match/fortuna-sittard/sparta-rotterdam/201419186,2014,9,eerste_divisie
90,Willem II,FC Eindhoven,3-2,https://www.besoccer.com/match/willem-ii/fc-eindhoven/201419187,2014,10,eerste_divisie
91,MVV Maastricht,Emmen,0-0,https://www.besoccer.com/match/mvv/emmen/201419188,2014,10,eerste_divisie
92,Helmond Sport,Almere City,1-3,https://www.besoccer.com/match/helmond-sport/almere-city/201419191,2014,10,eerste_divisie
93,Den Bosch,Achilles 29,0-2,https://www.besoccer.com/match/fc-den-bosch/achilles-29/201419192,2014,10,eerste_divisie
94,De Graafschap,Excelsior,2-1,https://www.besoccer.com/match/graafschap/excelsior/201419193,2014,10,eerste_divisie
95,TOP Oss,Dordrecht,0-0,https://www.besoccer.com/match/fc-oss/fc-dordrecht/201419189,2014,10,eerste_divisie
96,VVV Venlo,Fortuna Sittard,1-1,https://www.besoccer.com/match/vvv/fortuna-sittard/201419194,2014,10,eerste_divisie
97,SC Telstar,Sparta Rotterdam,0-3,https://www.besoccer.com/match/stormvogels-telstar/sparta-rotterdam/201419190,2014,10,eerste_divisie
98,Jong PSV,Jong Twente,2-1,https://www.besoccer.com/match/jong-psv/jong-twente/201419195,2014,10,eerste_divisie
99,Jong Ajax,FC Volendam,2-3,https://www.besoccer.com/match/jong-ajax/fc-volendam/201419196,2014,10,eerste_divisie
100,FC Volendam,TOP Oss,3-1,https://www.besoccer.com/match/fc-volendam/fc-oss/201419197,2014,11,eerste_divisie
101,Dordrecht,SC Telstar,4-3,https://www.besoccer.com/match/fc-dordrecht/stormvogels-telstar/201419198,2014,11,eerste_divisie
102,FC Eindhoven,Den Bosch,3-2,https://www.besoccer.com/match/fc-eindhoven/fc-den-bosch/201419199,2014,11,eerste_divisie
103,Almere City,VVV Venlo,2-2,https://www.besoccer.com/match/almere-city/vvv/201419200,2014,11,eerste_divisie
104,Fortuna Sittard,MVV Maastricht,0-1,https://www.besoccer.com/match/fortuna-sittard/mvv/201419201,2014,11,eerste_divisie
105,Sparta Rotterdam,De Graafschap,3-0,https://www.besoccer.com/match/sparta-rotterdam/graafschap/201419203,2014,11,eerste_divisie
106,Emmen,Willem II,1-0,https://www.besoccer.com/match/emmen/willem-ii/201419202,2014,11,eerste_divisie
107,Achilles 29,Jong PSV,3-2,https://www.besoccer.com/match/achilles-29/jong-psv/201419204,2014,11,eerste_divisie
108,Excelsior,Jong Ajax,3-1,https://www.besoccer.com/match/excelsior/jong-ajax/201419205,2014,11,eerste_divisie
