,Home_Team,Away_Team,Result,Link,Season,Round,League
0,FC Eindhoven,Emmen,3-0,https://www.besoccer.com/match/fc-eindhoven/emmen/20128280,2012,1,eerste_divisie
1,TOP Oss,Helmond Sport,3-1,https://www.besoccer.com/match/fc-oss/helmond-sport/20128281,2012,1,eerste_divisie
2,BV Veendam ,Willem II,1-3,https://www.besoccer.com/match/veendam/willem-ii/20128282,2012,1,eerste_divisie
3,Den Bosch,PEC Zwolle,2-2,https://www.besoccer.com/match/fc-den-bosch/fc-zwolle/20128283,2012,1,eerste_divisie
4,Go Ahead Eagles,SC Telstar,1-0,https://www.besoccer.com/match/go-ahead-eagles/stormvogels-telstar/20128284,2012,1,eerste_divisie
5,MVV Maastricht,Almere City,3-2,https://www.besoccer.com/match/mvv/almere-city/20128285,2012,1,eerste_divisie
6,Dordrecht,FC Volendam,0-0,https://www.besoccer.com/match/fc-dordrecht/fc-volendam/20128286,2012,1,eerste_divisie
7,Sparta Rotterdam,Fortuna Sittard,1-0,https://www.besoccer.com/match/sparta-rotterdam/fortuna-sittard/20128287,2012,1,eerste_divisie
8,AGOVV Apeldoorn,Cambuur,2-4,https://www.besoccer.com/match/agovv-apeldoorn/sc-cambuur-leeuwarden/20128288,2012,1,eerste_divisie
9,FC Volendam,MVV Maastricht,2-0,https://www.besoccer.com/match/fc-volendam/mvv/20128289,2012,2,eerste_divisie
10,Willem II,Go Ahead Eagles,1-1,https://www.besoccer.com/match/willem-ii/go-ahead-eagles/20128290,2012,2,eerste_divisie
11,Emmen,Dordrecht,1-1,https://www.besoccer.com/match/emmen/fc-dordrecht/20128291,2012,2,eerste_divisie
12,Almere City,BV Veendam ,3-0,https://www.besoccer.com/match/almere-city/veendam/20128292,2012,2,eerste_divisie
13,Fortuna Sittard,AGOVV Apeldoorn,5-1,https://www.besoccer.com/match/fortuna-sittard/agovv-apeldoorn/20128293,2012,2,eerste_divisie
14,Cambuur,FC Eindhoven,0-1,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-eindhoven/20128294,2012,2,eerste_divisie
15,Helmond Sport,Sparta Rotterdam,3-2,https://www.besoccer.com/match/helmond-sport/sparta-rotterdam/20128295,2012,2,eerste_divisie
16,PEC Zwolle,TOP Oss,2-1,https://www.besoccer.com/match/fc-zwolle/fc-oss/20128296,2012,2,eerste_divisie
17,SC Telstar,Den Bosch,0-0,https://www.besoccer.com/match/stormvogels-telstar/fc-den-bosch/20128297,2012,2,eerste_divisie
18,AGOVV Apeldoorn,PEC Zwolle,0-4,https://www.besoccer.com/match/agovv-apeldoorn/fc-zwolle/20128298,2012,3,eerste_divisie
19,FC Eindhoven,SC Telstar,3-1,https://www.besoccer.com/match/fc-eindhoven/stormvogels-telstar/20128299,2012,3,eerste_divisie
20,Go Ahead Eagles,Helmond Sport,2-3,https://www.besoccer.com/match/go-ahead-eagles/helmond-sport/20128300,2012,3,eerste_divisie
21,Sparta Rotterdam,FC Volendam,0-0,https://www.besoccer.com/match/sparta-rotterdam/fc-volendam/20128301,2012,3,eerste_divisie
22,TOP Oss,Almere City,3-4,https://www.besoccer.com/match/fc-oss/almere-city/20128302,2012,3,eerste_divisie
23,Fortuna Sittard,Emmen,4-1,https://www.besoccer.com/match/fortuna-sittard/emmen/20128303,2012,3,eerste_divisie
24,Den Bosch,Cambuur,1-1,https://www.besoccer.com/match/fc-den-bosch/sc-cambuur-leeuwarden/20128304,2012,3,eerste_divisie
25,MVV Maastricht,BV Veendam ,2-1,https://www.besoccer.com/match/mvv/veendam/20128305,2012,3,eerste_divisie
26,Dordrecht,Willem II,3-2,https://www.besoccer.com/match/fc-dordrecht/willem-ii/20128306,2012,3,eerste_divisie
27,Willem II,MVV Maastricht,2-1,https://www.besoccer.com/match/willem-ii/mvv/20128307,2012,4,eerste_divisie
28,SC Telstar,Dordrecht,3-0,https://www.besoccer.com/match/stormvogels-telstar/fc-dordrecht/20128308,2012,4,eerste_divisie
29,BV Veendam ,Den Bosch,1-2,https://www.besoccer.com/match/veendam/fc-den-bosch/20128309,2012,4,eerste_divisie
30,Helmond Sport,FC Eindhoven,0-1,https://www.besoccer.com/match/helmond-sport/fc-eindhoven/20128310,2012,4,eerste_divisie
31,Cambuur,Fortuna Sittard,3-1,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fortuna-sittard/20128311,2012,4,eerste_divisie
32,PEC Zwolle,Sparta Rotterdam,2-0,https://www.besoccer.com/match/fc-zwolle/sparta-rotterdam/20128312,2012,4,eerste_divisie
33,Almere City,AGOVV Apeldoorn,4-1,https://www.besoccer.com/match/almere-city/agovv-apeldoorn/20128313,2012,4,eerste_divisie
34,FC Volendam,Go Ahead Eagles,2-2,https://www.besoccer.com/match/fc-volendam/go-ahead-eagles/20128314,2012,4,eerste_divisie
35,Emmen,TOP Oss,1-3,https://www.besoccer.com/match/emmen/fc-oss/20128315,2012,4,eerste_divisie
36,Fortuna Sittard,Den Bosch,2-2,https://www.besoccer.com/match/fortuna-sittard/fc-den-bosch/20128316,2012,5,eerste_divisie
37,SC Telstar,Almere City,3-1,https://www.besoccer.com/match/stormvogels-telstar/almere-city/20128317,2012,5,eerste_divisie
38,Sparta Rotterdam,TOP Oss,2-2,https://www.besoccer.com/match/sparta-rotterdam/fc-oss/20128318,2012,5,eerste_divisie
39,Go Ahead Eagles,BV Veendam ,2-2,https://www.besoccer.com/match/go-ahead-eagles/veendam/20128319,2012,5,eerste_divisie
40,Dordrecht,MVV Maastricht,3-3,https://www.besoccer.com/match/fc-dordrecht/mvv/20128320,2012,5,eerste_divisie
41,AGOVV Apeldoorn,FC Eindhoven,0-0,https://www.besoccer.com/match/agovv-apeldoorn/fc-eindhoven/20128321,2012,5,eerste_divisie
42,Emmen,Willem II,0-2,https://www.besoccer.com/match/emmen/willem-ii/20128322,2012,5,eerste_divisie
43,FC Volendam,Cambuur,1-4,https://www.besoccer.com/match/fc-volendam/sc-cambuur-leeuwarden/20128323,2012,5,eerste_divisie
44,Helmond Sport,PEC Zwolle,3-1,https://www.besoccer.com/match/helmond-sport/fc-zwolle/20128324,2012,5,eerste_divisie
45,FC Eindhoven,Go Ahead Eagles,1-0,https://www.besoccer.com/match/fc-eindhoven/go-ahead-eagles/20128325,2012,6,eerste_divisie
46,TOP Oss,AGOVV Apeldoorn,1-0,https://www.besoccer.com/match/fc-oss/agovv-apeldoorn/20128326,2012,6,eerste_divisie
47,Dordrecht,Cambuur,2-1,https://www.besoccer.com/match/fc-dordrecht/sc-cambuur-leeuwarden/20128327,2012,6,eerste_divisie
48,MVV Maastricht,Fortuna Sittard,3-1,https://www.besoccer.com/match/mvv/fortuna-sittard/20128328,2012,6,eerste_divisie
49,Den Bosch,Sparta Rotterdam,0-1,https://www.besoccer.com/match/fc-den-bosch/sparta-rotterdam/20128329,2012,6,eerste_divisie
50,PEC Zwolle,FC Volendam,3-1,https://www.besoccer.com/match/fc-zwolle/fc-volendam/20128330,2012,6,eerste_divisie
51,Willem II,SC Telstar,3-2,https://www.besoccer.com/match/willem-ii/stormvogels-telstar/20128331,2012,6,eerste_divisie
52,Almere City,Helmond Sport,2-1,https://www.besoccer.com/match/almere-city/helmond-sport/20128332,2012,6,eerste_divisie
53,BV Veendam ,Emmen,3-0,https://www.besoccer.com/match/veendam/emmen/20128333,2012,6,eerste_divisie
54,Cambuur,Helmond Sport,2-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/helmond-sport/20128335,2012,7,eerste_divisie
55,Den Bosch,Dordrecht,0-0,https://www.besoccer.com/match/fc-den-bosch/fc-dordrecht/20128336,2012,7,eerste_divisie
56,AGOVV Apeldoorn,Willem II,2-1,https://www.besoccer.com/match/agovv-apeldoorn/willem-ii/20128337,2012,7,eerste_divisie
57,Fortuna Sittard,TOP Oss,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-oss/20128338,2012,7,eerste_divisie
58,Go Ahead Eagles,MVV Maastricht,2-1,https://www.besoccer.com/match/go-ahead-eagles/mvv/20128341,2012,7,eerste_divisie
59,Emmen,FC Volendam,0-4,https://www.besoccer.com/match/emmen/fc-volendam/20128340,2012,7,eerste_divisie
60,SC Telstar,BV Veendam ,1-1,https://www.besoccer.com/match/stormvogels-telstar/veendam/20128334,2012,7,eerste_divisie
61,FC Eindhoven,PEC Zwolle,2-2,https://www.besoccer.com/match/fc-eindhoven/fc-zwolle/20128339,2012,7,eerste_divisie
62,Sparta Rotterdam,Almere City,2-1,https://www.besoccer.com/match/sparta-rotterdam/almere-city/20128342,2012,7,eerste_divisie
63,Almere City,Dordrecht,5-0,https://www.besoccer.com/match/almere-city/fc-dordrecht/20128343,2012,8,eerste_divisie
64,BV Veendam ,AGOVV Apeldoorn,4-0,https://www.besoccer.com/match/veendam/agovv-apeldoorn/20128344,2012,8,eerste_divisie
