,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Go Ahead Eagles,MVV Maastricht,3-2,https://www.besoccer.com/match/go-ahead-eagles/mvv/202012306,2020,1,eerste_divisie
1,De Graafschap,Cambuur,2-0,https://www.besoccer.com/match/graafschap/sc-cambuur-leeuwarden/202012307,2020,1,eerste_divisie
2,NEC Nijmegen,FC Eindhoven,1-2,https://www.besoccer.com/match/nec/fc-eindhoven/202012308,2020,1,eerste_divisie
3,Roda JC,Almere City,1-1,https://www.besoccer.com/match/roda-jc/almere-city/202012309,2020,1,eerste_divisie
4,TOP Oss,Jong Ajax,2-1,https://www.besoccer.com/match/fc-oss/jong-ajax/202012310,2020,1,eerste_divisie
5,Helmond Sport,FC Volendam,1-1,https://www.besoccer.com/match/helmond-sport/fc-volendam/202012312,2020,1,eerste_divisie
6,Dordrecht,NAC Breda,0-2,https://www.besoccer.com/match/fc-dordrecht/nac-breda/202012313,2020,1,eerste_divisie
7,Excelsior,Jong Utrecht,2-0,https://www.besoccer.com/match/excelsior/jong-utrecht/202012314,2020,1,eerste_divisie
8,Jong AZ,SC Telstar,0-0,https://www.besoccer.com/match/az-alkmaar-sub23/stormvogels-telstar/202012311,2020,1,eerste_divisie
9,Jong PSV,Den Bosch,2-2,https://www.besoccer.com/match/jong-psv/fc-den-bosch/202012315,2020,1,eerste_divisie
10,Cambuur,Go Ahead Eagles,5-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/go-ahead-eagles/202012316,2020,2,eerste_divisie
11,FC Volendam,Roda JC,4-0,https://www.besoccer.com/match/fc-volendam/roda-jc/202012317,2020,2,eerste_divisie
12,NAC Breda,Helmond Sport,5-1,https://www.besoccer.com/match/nac-breda/helmond-sport/202012318,2020,2,eerste_divisie
13,MVV Maastricht,De Graafschap,0-3,https://www.besoccer.com/match/mvv/graafschap/202012319,2020,2,eerste_divisie
14,FC Eindhoven,Dordrecht,5-1,https://www.besoccer.com/match/fc-eindhoven/fc-dordrecht/202012320,2020,2,eerste_divisie
15,Den Bosch,SC Telstar,0-1,https://www.besoccer.com/match/fc-den-bosch/stormvogels-telstar/202012321,2020,2,eerste_divisie
16,Almere City,Jong PSV,3-2,https://www.besoccer.com/match/almere-city/jong-psv/202012322,2020,2,eerste_divisie
17,Jong Utrecht,TOP Oss,2-1,https://www.besoccer.com/match/jong-utrecht/fc-oss/202012323,2020,2,eerste_divisie
18,Jong Ajax,NEC Nijmegen,3-3,https://www.besoccer.com/match/jong-ajax/nec/202012324,2020,2,eerste_divisie
19,Jong AZ,Excelsior,1-2,https://www.besoccer.com/match/az-alkmaar-sub23/excelsior/202012325,2020,2,eerste_divisie
20,Dordrecht,Jong Ajax,2-5,https://www.besoccer.com/match/fc-dordrecht/jong-ajax/202012326,2020,3,eerste_divisie
21,NAC Breda,Cambuur,1-0,https://www.besoccer.com/match/nac-breda/sc-cambuur-leeuwarden/202012327,2020,3,eerste_divisie
22,Go Ahead Eagles,Jong Utrecht,4-0,https://www.besoccer.com/match/go-ahead-eagles/jong-utrecht/202012328,2020,3,eerste_divisie
23,Den Bosch,FC Eindhoven,1-1,https://www.besoccer.com/match/fc-den-bosch/fc-eindhoven/202012329,2020,3,eerste_divisie
24,TOP Oss,Jong AZ,1-2,https://www.besoccer.com/match/fc-oss/az-alkmaar-sub23/202012330,2020,3,eerste_divisie
25,De Graafschap,FC Volendam,3-0,https://www.besoccer.com/match/graafschap/fc-volendam/202012331,2020,3,eerste_divisie
26,Roda JC,NEC Nijmegen,1-2,https://www.besoccer.com/match/roda-jc/nec/202012332,2020,3,eerste_divisie
27,SC Telstar,Excelsior,3-0,https://www.besoccer.com/match/stormvogels-telstar/excelsior/202012333,2020,3,eerste_divisie
28,Helmond Sport,Almere City,1-1,https://www.besoccer.com/match/helmond-sport/almere-city/202012334,2020,3,eerste_divisie
29,Jong PSV,MVV Maastricht,0-1,https://www.besoccer.com/match/jong-psv/mvv/202012335,2020,3,eerste_divisie
30,Cambuur,Den Bosch,3-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-den-bosch/202012336,2020,4,eerste_divisie
31,FC Volendam,NAC Breda,2-1,https://www.besoccer.com/match/fc-volendam/nac-breda/202012337,2020,4,eerste_divisie
32,FC Eindhoven,Go Ahead Eagles,2-1,https://www.besoccer.com/match/fc-eindhoven/go-ahead-eagles/202012338,2020,4,eerste_divisie
33,Excelsior,Helmond Sport,3-1,https://www.besoccer.com/match/excelsior/helmond-sport/202012339,2020,4,eerste_divisie
34,NEC Nijmegen,SC Telstar,4-2,https://www.besoccer.com/match/nec/stormvogels-telstar/202012340,2020,4,eerste_divisie
35,Jong Ajax,Almere City,3-2,https://www.besoccer.com/match/jong-ajax/almere-city/202012341,2020,4,eerste_divisie
36,TOP Oss,De Graafschap,0-0,https://www.besoccer.com/match/fc-oss/graafschap/202012342,2020,4,eerste_divisie
37,Jong AZ,Dordrecht,1-1,https://www.besoccer.com/match/az-alkmaar-sub23/fc-dordrecht/202012343,2020,4,eerste_divisie
38,Jong Utrecht,Jong PSV,3-0,https://www.besoccer.com/match/jong-utrecht/jong-psv/202012344,2020,4,eerste_divisie
39,MVV Maastricht,Roda JC,1-0,https://www.besoccer.com/match/mvv/roda-jc/202012345,2020,4,eerste_divisie
40,Dordrecht,MVV Maastricht,1-1,https://www.besoccer.com/match/fc-dordrecht/mvv/202012346,2020,5,eerste_divisie
41,SC Telstar,Cambuur,0-2,https://www.besoccer.com/match/stormvogels-telstar/sc-cambuur-leeuwarden/202012348,2020,5,eerste_divisie
42,Go Ahead Eagles,Excelsior,2-2,https://www.besoccer.com/match/go-ahead-eagles/excelsior/202012347,2020,5,eerste_divisie
43,Helmond Sport,FC Eindhoven,1-0,https://www.besoccer.com/match/helmond-sport/fc-eindhoven/202012349,2020,5,eerste_divisie
44,Roda JC,TOP Oss,2-1,https://www.besoccer.com/match/roda-jc/fc-oss/202012350,2020,5,eerste_divisie
45,Almere City,FC Volendam,1-0,https://www.besoccer.com/match/almere-city/fc-volendam/202012351,2020,5,eerste_divisie
46,Jong Utrecht,Den Bosch,5-1,https://www.besoccer.com/match/jong-utrecht/fc-den-bosch/202012352,2020,5,eerste_divisie
47,NEC Nijmegen,De Graafschap,1-1,https://www.besoccer.com/match/nec/graafschap/202012353,2020,5,eerste_divisie
48,Jong Ajax,Jong PSV,2-0,https://www.besoccer.com/match/jong-ajax/jong-psv/202012354,2020,5,eerste_divisie
49,Jong AZ,NAC Breda,1-2,https://www.besoccer.com/match/az-alkmaar-sub23/nac-breda/202012355,2020,5,eerste_divisie
50,NAC Breda,Jong Utrecht,0-0,https://www.besoccer.com/match/nac-breda/jong-utrecht/202012356,2020,6,eerste_divisie
51,Jong PSV,Jong AZ,3-2,https://www.besoccer.com/match/jong-psv/az-alkmaar-sub23/202012357,2020,6,eerste_divisie
52,Den Bosch,NEC Nijmegen,2-2,https://www.besoccer.com/match/fc-den-bosch/nec/202012358,2020,6,eerste_divisie
53,De Graafschap,Jong Ajax,3-2,https://www.besoccer.com/match/graafschap/jong-ajax/202012359,2020,6,eerste_divisie
54,Cambuur,Helmond Sport,5-1,https://www.besoccer.com/match/sc-cambuur-leeuwarden/helmond-sport/202012360,2020,6,eerste_divisie
55,FC Volendam,Dordrecht,1-1,https://www.besoccer.com/match/fc-volendam/fc-dordrecht/202012361,2020,6,eerste_divisie
56,MVV Maastricht,SC Telstar,1-2,https://www.besoccer.com/match/mvv/stormvogels-telstar/202012362,2020,6,eerste_divisie
57,FC Eindhoven,Roda JC,1-1,https://www.besoccer.com/match/fc-eindhoven/roda-jc/202012363,2020,6,eerste_divisie
58,Excelsior,Almere City,4-2,https://www.besoccer.com/match/excelsior/almere-city/202012364,2020,6,eerste_divisie
59,TOP Oss,Go Ahead Eagles,1-2,https://www.besoccer.com/match/fc-oss/go-ahead-eagles/202012365,2020,6,eerste_divisie
60,Dordrecht,NEC Nijmegen,2-0,https://www.besoccer.com/match/fc-dordrecht/nec/202012366,2020,7,eerste_divisie
61,NAC Breda,Excelsior,2-1,https://www.besoccer.com/match/nac-breda/excelsior/202012367,2020,7,eerste_divisie
62,Go Ahead Eagles,Jong Ajax,1-1,https://www.besoccer.com/match/go-ahead-eagles/jong-ajax/202012368,2020,7,eerste_divisie
63,Den Bosch,MVV Maastricht,4-0,https://www.besoccer.com/match/fc-den-bosch/mvv/202012369,2020,7,eerste_divisie
64,De Graafschap,FC Eindhoven,4-0,https://www.besoccer.com/match/graafschap/fc-eindhoven/202012370,2020,7,eerste_divisie
65,Roda JC,Jong Utrecht,1-3,https://www.besoccer.com/match/roda-jc/jong-utrecht/202012371,2020,7,eerste_divisie
66,Almere City,Jong AZ,2-1,https://www.besoccer.com/match/almere-city/az-alkmaar-sub23/202012372,2020,7,eerste_divisie
67,SC Telstar,FC Volendam,1-2,https://www.besoccer.com/match/stormvogels-telstar/fc-volendam/202012373,2020,7,eerste_divisie
68,Helmond Sport,TOP Oss,0-2,https://www.besoccer.com/match/helmond-sport/fc-oss/202012374,2020,7,eerste_divisie
69,Jong PSV,Cambuur,0-1,https://www.besoccer.com/match/jong-psv/sc-cambuur-leeuwarden/202012375,2020,7,eerste_divisie
70,FC Volendam,Cambuur,0-4,https://www.besoccer.com/match/fc-volendam/sc-cambuur-leeuwarden/202012376,2020,8,eerste_divisie
71,MVV Maastricht,Jong Ajax,1-4,https://www.besoccer.com/match/mvv/jong-ajax/202012377,2020,8,eerste_divisie
72,FC Eindhoven,SC Telstar,4-1,https://www.besoccer.com/match/fc-eindhoven/stormvogels-telstar/202012378,2020,8,eerste_divisie
73,Excelsior,Jong PSV,5-2,https://www.besoccer.com/match/excelsior/jong-psv/202012379,2020,8,eerste_divisie
74,NEC Nijmegen,Go Ahead Eagles,3-3,https://www.besoccer.com/match/nec/go-ahead-eagles/202012380,2020,8,eerste_divisie
75,TOP Oss,NAC Breda,0-1,https://www.besoccer.com/match/fc-oss/nac-breda/202012381,2020,8,eerste_divisie
76,Almere City,Dordrecht,3-2,https://www.besoccer.com/match/almere-city/fc-dordrecht/202012382,2020,8,eerste_divisie
77,Roda JC,De Graafschap,1-1,https://www.besoccer.com/match/roda-jc/graafschap/202012383,2020,8,eerste_divisie
78,Jong Utrecht,Helmond Sport,1-1,https://www.besoccer.com/match/jong-utrecht/helmond-sport/202012384,2020,8,eerste_divisie
79,Jong AZ,Den Bosch,2-2,https://www.besoccer.com/match/az-alkmaar-sub23/fc-den-bosch/202012385,2020,8,eerste_divisie
80,Cambuur,Excelsior,4-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/excelsior/202012386,2020,9,eerste_divisie
81,Dordrecht,Jong Utrecht,2-5,https://www.besoccer.com/match/fc-dordrecht/jong-utrecht/202012387,2020,9,eerste_divisie
82,NAC Breda,NEC Nijmegen,1-0,https://www.besoccer.com/match/nac-breda/nec/202012388,2020,9,eerste_divisie
83,Jong PSV,FC Volendam,3-1,https://www.besoccer.com/match/jong-psv/fc-volendam/202012389,2020,9,eerste_divisie
84,Go Ahead Eagles,Jong AZ,1-1,https://www.besoccer.com/match/go-ahead-eagles/az-alkmaar-sub23/202012390,2020,9,eerste_divisie
85,Den Bosch,TOP Oss,4-0,https://www.besoccer.com/match/fc-den-bosch/fc-oss/202012391,2020,9,eerste_divisie
86,De Graafschap,Almere City,0-0,https://www.besoccer.com/match/graafschap/almere-city/202012392,2020,9,eerste_divisie
87,Jong Ajax,FC Eindhoven,6-0,https://www.besoccer.com/match/jong-ajax/fc-eindhoven/202012393,2020,9,eerste_divisie
88,SC Telstar,Roda JC,1-2,https://www.besoccer.com/match/stormvogels-telstar/roda-jc/202012394,2020,9,eerste_divisie
89,Helmond Sport,MVV Maastricht,3-1,https://www.besoccer.com/match/helmond-sport/mvv/202012395,2020,9,eerste_divisie
90,MVV Maastricht,Cambuur,0-0,https://www.besoccer.com/match/mvv/sc-cambuur-leeuwarden/202012396,2020,10,eerste_divisie
91,TOP Oss,SC Telstar,2-2,https://www.besoccer.com/match/fc-oss/stormvogels-telstar/202012397,2020,10,eerste_divisie
92,Roda JC,Helmond Sport,4-0,https://www.besoccer.com/match/roda-jc/helmond-sport/202012398,2020,10,eerste_divisie
93,FC Volendam,Den Bosch,1-1,https://www.besoccer.com/match/fc-volendam/fc-den-bosch/202012399,2020,10,eerste_divisie
94,Almere City,Go Ahead Eagles,1-1,https://www.besoccer.com/match/almere-city/go-ahead-eagles/202012400,2020,10,eerste_divisie
95,Excelsior,Dordrecht,3-2,https://www.besoccer.com/match/excelsior/fc-dordrecht/202012401,2020,10,eerste_divisie
96,NAC Breda,De Graafschap,1-2,https://www.besoccer.com/match/nac-breda/graafschap/202012402,2020,10,eerste_divisie
97,Jong PSV,FC Eindhoven,2-1,https://www.besoccer.com/match/jong-psv/fc-eindhoven/202012403,2020,10,eerste_divisie
98,Jong Ajax,Jong Utrecht,4-0,https://www.besoccer.com/match/jong-ajax/jong-utrecht/202012404,2020,10,eerste_divisie
99,Jong AZ,NEC Nijmegen,0-2,https://www.besoccer.com/match/az-alkmaar-sub23/nec/202012405,2020,10,eerste_divisie
100,Jong Utrecht,De Graafschap,2-2,https://www.besoccer.com/match/jong-utrecht/graafschap/202012406,2020,11,eerste_divisie
101,FC Eindhoven,NAC Breda,2-2,https://www.besoccer.com/match/fc-eindhoven/nac-breda/202012407,2020,11,eerste_divisie
102,NEC Nijmegen,Jong PSV,1-0,https://www.besoccer.com/match/nec/jong-psv/202012408,2020,11,eerste_divisie
103,Jong AZ,Jong Ajax,3-2,https://www.besoccer.com/match/az-alkmaar-sub23/jong-ajax/202012409,2020,11,eerste_divisie
104,Cambuur,TOP Oss,5-1,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-oss/202012410,2020,11,eerste_divisie
105,Dordrecht,Helmond Sport,1-2,https://www.besoccer.com/match/fc-dordrecht/helmond-sport/202012411,2020,11,eerste_divisie
106,MVV Maastricht,Excelsior,0-0,https://www.besoccer.com/match/mvv/excelsior/202012412,2020,11,eerste_divisie
107,Go Ahead Eagles,FC Volendam,3-0,https://www.besoccer.com/match/go-ahead-eagles/fc-volendam/202012413,2020,11,eerste_divisie
108,Den Bosch,Roda JC,0-0,https://www.besoccer.com/match/fc-den-bosch/roda-jc/202012414,2020,11,eerste_divisie
109,SC Telstar,Almere City,1-0,https://www.besoccer.com/match/stormvogels-telstar/almere-city/202012415,2020,11,eerste_divisie
110,Jong Utrecht,Cambuur,1-1,https://www.besoccer.com/match/jong-utrecht/sc-cambuur-leeuwarden/202012416,2020,12,eerste_divisie
111,FC Volendam,Jong AZ,3-2,https://www.besoccer.com/match/fc-volendam/az-alkmaar-sub23/202012417,2020,12,eerste_divisie
112,Go Ahead Eagles,Den Bosch,0-0,https://www.besoccer.com/match/go-ahead-eagles/fc-den-bosch/202012418,2020,12,eerste_divisie
113,Excelsior,Jong Ajax,1-3,https://www.besoccer.com/match/excelsior/jong-ajax/202012419,2020,12,eerste_divisie
114,De Graafschap,Dordrecht,5-0,https://www.besoccer.com/match/graafschap/fc-dordrecht/202012420,2020,12,eerste_divisie
115,NEC Nijmegen,MVV Maastricht,2-0,https://www.besoccer.com/match/nec/mvv/202012421,2020,12,eerste_divisie
116,Roda JC,NAC Breda,4-2,https://www.besoccer.com/match/roda-jc/nac-breda/202012422,2020,12,eerste_divisie
117,TOP Oss,Jong PSV,1-0,https://www.besoccer.com/match/fc-oss/jong-psv/202012423,2020,12,eerste_divisie
118,Almere City,FC Eindhoven,3-1,https://www.besoccer.com/match/almere-city/fc-eindhoven/202012424,2020,12,eerste_divisie
119,Helmond Sport,SC Telstar,1-4,https://www.besoccer.com/match/helmond-sport/stormvogels-telstar/202012425,2020,12,eerste_divisie
120,Cambuur,NEC Nijmegen,0-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/nec/202012426,2020,13,eerste_divisie
121,Dordrecht,TOP Oss,1-1,https://www.besoccer.com/match/fc-dordrecht/fc-oss/202012427,2020,13,eerste_divisie
122,NAC Breda,Go Ahead Eagles,1-1,https://www.besoccer.com/match/nac-breda/go-ahead-eagles/202012428,2020,13,eerste_divisie
123,MVV Maastricht,Almere City,3-2,https://www.besoccer.com/match/mvv/almere-city/202012429,2020,13,eerste_divisie
124,FC Eindhoven,Jong AZ,2-1,https://www.besoccer.com/match/fc-eindhoven/az-alkmaar-sub23/202012430,2020,13,eerste_divisie
125,Den Bosch,Helmond Sport,1-1,https://www.besoccer.com/match/fc-den-bosch/helmond-sport/202012431,2020,13,eerste_divisie
126,De Graafschap,Excelsior,0-0,https://www.besoccer.com/match/graafschap/excelsior/202012432,2020,13,eerste_divisie
127,SC Telstar,Jong Utrecht,2-0,https://www.besoccer.com/match/stormvogels-telstar/jong-utrecht/202012433,2020,13,eerste_divisie
128,Jong PSV,Roda JC,1-1,https://www.besoccer.com/match/jong-psv/roda-jc/202012434,2020,13,eerste_divisie
129,Jong Ajax,FC Volendam,1-3,https://www.besoccer.com/match/jong-ajax/fc-volendam/202012435,2020,13,eerste_divisie
