,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Jong Utrecht,FC Eindhoven,1-2,https://www.besoccer.com/match/jong-utrecht/fc-eindhoven/202114529,2021,1,eerste_divisie
1,Cambuur,NEC Nijmegen,2-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/nec/202114530,2021,1,eerste_divisie
2,Jong PSV,Excelsior,1-6,https://www.besoccer.com/match/jong-psv/excelsior/202114531,2021,1,eerste_divisie
3,TOP Oss,Helmond Sport,1-2,https://www.besoccer.com/match/fc-oss/helmond-sport/202114532,2021,1,eerste_divisie
4,NAC Breda,Jong AZ,6-1,https://www.besoccer.com/match/nac-breda/az-alkmaar-sub23/202114533,2021,1,eerste_divisie
5,SC Telstar,FC Volendam,2-2,https://www.besoccer.com/match/stormvogels-telstar/fc-volendam/202114534,2021,1,eerste_divisie
6,Jong Ajax,Roda JC,0-4,https://www.besoccer.com/match/jong-ajax/roda-jc/202114535,2021,1,eerste_divisie
7,Dordrecht,Go Ahead Eagles,0-0,https://www.besoccer.com/match/fc-dordrecht/go-ahead-eagles/202114536,2021,1,eerste_divisie
8,Almere City,MVV Maastricht,0-0,https://www.besoccer.com/match/almere-city/mvv/202114537,2021,1,eerste_divisie
9,De Graafschap,Den Bosch,4-2,https://www.besoccer.com/match/graafschap/fc-den-bosch/202114538,2021,1,eerste_divisie
10,FC Eindhoven,SC Telstar,2-3,https://www.besoccer.com/match/fc-eindhoven/stormvogels-telstar/202114539,2021,2,eerste_divisie
11,MVV Maastricht,Cambuur,1-7,https://www.besoccer.com/match/mvv/sc-cambuur-leeuwarden/202114540,2021,2,eerste_divisie
12,Roda JC,TOP Oss,3-0,https://www.besoccer.com/match/roda-jc/fc-oss/202114541,2021,2,eerste_divisie
13,Excelsior,Almere City,4-6,https://www.besoccer.com/match/excelsior/almere-city/202114542,2021,2,eerste_divisie
14,Den Bosch,Dordrecht,2-1,https://www.besoccer.com/match/fc-den-bosch/fc-dordrecht/202114544,2021,2,eerste_divisie
15,Helmond Sport,NAC Breda,0-2,https://www.besoccer.com/match/helmond-sport/nac-breda/202114545,2021,2,eerste_divisie
16,Jong Ajax,Jong PSV,1-2,https://www.besoccer.com/match/jong-ajax/jong-psv/202114546,2021,2,eerste_divisie
17,Jong Utrecht,Jong AZ,1-2,https://www.besoccer.com/match/jong-utrecht/az-alkmaar-sub23/202114547,2021,2,eerste_divisie
