,Home_Team,Away_Team,Result,Link,Season,Round,League
47,Ingolstadt 04,Werder Bremen,0-3,https://www.besoccer.com/match/fc-ingolstadt-04/werder-bremen/202216291,2022,6,2_liga
48,Hamburger SV,Sandhausen,2-1,https://www.besoccer.com/match/hamburger-sv/sv-sandhausen/202216283,2022,6,2_liga
49,Heidenheim,Dynamo Dresden,2-1,https://www.besoccer.com/match/heidenheim/sg-dynamo-dresden/202216285,2022,6,2_liga
50,Paderborn,Schalke 04,0-1,https://www.besoccer.com/match/paderborn/schalke-04/202216286,2022,6,2_liga
51,Erzgebirge Aue,Fortuna Düsseldorf,0-1,https://www.besoccer.com/match/fc-erzgebirge-aue/fortuna-dusseldorf/202216287,2022,6,2_liga
52,Jahn Regensburg,Nürnberg,2-2,https://www.besoccer.com/match/ssv-jahn-regensburg/fc-nurnberg/202216289,2022,6,2_liga
53,Hansa Rostock,Darmstadt 98,2-1,https://www.besoccer.com/match/hansa-rostock/darmstadt-98/202216290,2022,6,2_liga
54,Nürnberg,Hansa Rostock,1-0,https://www.besoccer.com/match/fc-nurnberg/hansa-rostock/202216298,2022,7,2_liga
55,Schalke 04,Karlsruher SC,1-2,https://www.besoccer.com/match/schalke-04/karlsruher-sc/202216293,2022,7,2_liga
56,Holstein Kiel,Hannover 96,0-3,https://www.besoccer.com/match/holstein-kiel/hannover-96/202216294,2022,7,2_liga
57,Fortuna Düsseldorf,Jahn Regensburg,1-1,https://www.besoccer.com/match/fortuna-dusseldorf/ssv-jahn-regensburg/202216295,2022,7,2_liga
58,Sandhausen,Heidenheim,1-3,https://www.besoccer.com/match/sv-sandhausen/heidenheim/202216300,2022,7,2_liga
59,Werder Bremen,Hamburger SV,0-2,https://www.besoccer.com/match/werder-bremen/hamburger-sv/202216292,2022,7,2_liga
60,Darmstadt 98,Dynamo Dresden,1-0,https://www.besoccer.com/match/darmstadt-98/sg-dynamo-dresden/202216296,2022,7,2_liga
61,FC St. Pauli,Ingolstadt 04,4-1,https://www.besoccer.com/match/st-pauli/fc-ingolstadt-04/202216297,2022,7,2_liga
62,Erzgebirge Aue,Paderborn,1-4,https://www.besoccer.com/match/fc-erzgebirge-aue/paderborn/202216299,2022,7,2_liga
63,Heidenheim,Darmstadt 98,2-1,https://www.besoccer.com/match/heidenheim/darmstadt-98/202216303,2022,8,2_liga
64,Jahn Regensburg,Erzgebirge Aue,3-2,https://www.besoccer.com/match/ssv-jahn-regensburg/fc-erzgebirge-aue/202216305,2022,8,2_liga
