,Home_Team,Away_Team,Result,Link,Season,Round,League
0,SP. Covilhã,Moreirense,2-1,https://www.besoccer.com/match/sporting-covilha/moreirense-fc/200698775,2006,1,segunda_liga
1,Vizela,Ovarense,3-0,https://www.besoccer.com/match/vizela/ovarense/200698776,2006,1,segunda_liga
2,Estoril,Portimonense,4-1,https://www.besoccer.com/match/estoril/portimonense/200698774,2006,1,segunda_liga
3,CD Santa Clara,Beira Mar SC,0-0,https://www.besoccer.com/match/santa-clara/beira-mar/200698778,2006,1,segunda_liga
4,Leixões,Desportivo Aves,2-1,https://www.besoccer.com/match/leixoes/desportivo-aves/200698779,2006,1,segunda_liga
5,FC Maia,Varzim,1-2,https://www.besoccer.com/match/fc-maia/varzim/200698780,2006,1,segunda_liga
6,Feirense,Olhanense,1-2,https://www.besoccer.com/match/feirense/sc-olhanense/200698777,2006,1,segunda_liga
7,FC Marco,Chaves,1-2,https://www.besoccer.com/match/fc-marco/chaves/200698781,2006,1,segunda_liga
8,Gondomar,FC Barreirense,1-0,https://www.besoccer.com/match/gondomar/fc-barreirense/200698782,2006,1,segunda_liga
9,Moreirense,FC Marco,1-1,https://www.besoccer.com/match/moreirense-fc/fc-marco/200698787,2006,2,segunda_liga
10,Portimonense,Leixões,0-0,https://www.besoccer.com/match/portimonense/leixoes/200698788,2006,2,segunda_liga
11,Beira Mar SC,Feirense,1-0,https://www.besoccer.com/match/beira-mar/feirense/200698786,2006,2,segunda_liga
12,Varzim,SP. Covilhã,1-2,https://www.besoccer.com/match/varzim/sporting-covilha/200698785,2006,2,segunda_liga
13,Ovarense,CD Santa Clara,1-1,https://www.besoccer.com/match/ovarense/santa-clara/200698784,2006,2,segunda_liga
14,FC Barreirense,Vizela,1-1,https://www.besoccer.com/match/fc-barreirense/vizela/200698783,2006,2,segunda_liga
15,Olhanense,FC Maia,3-3,https://www.besoccer.com/match/sc-olhanense/fc-maia/200698789,2006,2,segunda_liga
16,Desportivo Aves,Gondomar,2-0,https://www.besoccer.com/match/desportivo-aves/gondomar/200698790,2006,2,segunda_liga
17,Chaves,Estoril,1-3,https://www.besoccer.com/match/chaves/estoril/200698791,2006,2,segunda_liga
18,FC Marco,Varzim,2-2,https://www.besoccer.com/match/fc-marco/varzim/200698800,2006,3,segunda_liga
19,Estoril,Moreirense,2-1,https://www.besoccer.com/match/estoril/moreirense-fc/200698798,2006,3,segunda_liga
20,Gondomar,Portimonense,1-0,https://www.besoccer.com/match/gondomar/portimonense/200698799,2006,3,segunda_liga
21,Vizela,CD Santa Clara,0-0,https://www.besoccer.com/match/vizela/santa-clara/200698797,2006,3,segunda_liga
22,FC Maia,Beira Mar SC,0-1,https://www.besoccer.com/match/fc-maia/beira-mar/200698796,2006,3,segunda_liga
23,SP. Covilhã,Olhanense,2-0,https://www.besoccer.com/match/sporting-covilha/sc-olhanense/200698795,2006,3,segunda_liga
24,Feirense,Ovarense,2-3,https://www.besoccer.com/match/feirense/ovarense/200698793,2006,3,segunda_liga
25,Leixões,Chaves,2-0,https://www.besoccer.com/match/leixoes/chaves/200698794,2006,3,segunda_liga
26,FC Barreirense,Desportivo Aves,2-1,https://www.besoccer.com/match/fc-barreirense/desportivo-aves/200698792,2006,3,segunda_liga
27,Varzim,Estoril,1-0,https://www.besoccer.com/match/varzim/estoril/200698801,2006,4,segunda_liga
28,Moreirense,Leixões,1-1,https://www.besoccer.com/match/moreirense-fc/leixoes/200698806,2006,4,segunda_liga
29,Chaves,Gondomar,1-1,https://www.besoccer.com/match/chaves/gondomar/200698808,2006,4,segunda_liga
30,Portimonense,FC Barreirense,2-0,https://www.besoccer.com/match/portimonense/fc-barreirense/200698807,2006,4,segunda_liga
31,Beira Mar SC,SP. Covilhã,2-0,https://www.besoccer.com/match/beira-mar/sporting-covilha/200698804,2006,4,segunda_liga
32,Ovarense,FC Maia,4-4,https://www.besoccer.com/match/ovarense/fc-maia/200698805,2006,4,segunda_liga
33,Olhanense,FC Marco,2-1,https://www.besoccer.com/match/sc-olhanense/fc-marco/200698803,2006,4,segunda_liga
34,Desportivo Aves,Vizela,3-2,https://www.besoccer.com/match/desportivo-aves/vizela/200698802,2006,4,segunda_liga
35,CD Santa Clara,Feirense,2-2,https://www.besoccer.com/match/santa-clara/feirense/200698809,2006,4,segunda_liga
36,FC Maia,CD Santa Clara,2-1,https://www.besoccer.com/match/fc-maia/santa-clara/200698818,2006,5,segunda_liga
37,Vizela,Feirense,0-2,https://www.besoccer.com/match/vizela/feirense/200698815,2006,5,segunda_liga
38,FC Barreirense,Chaves,1-1,https://www.besoccer.com/match/fc-barreirense/chaves/200698816,2006,5,segunda_liga
39,SP. Covilhã,Ovarense,2-0,https://www.besoccer.com/match/sporting-covilha/ovarense/200698817,2006,5,segunda_liga
40,Leixões,Varzim,1-0,https://www.besoccer.com/match/leixoes/varzim/200698814,2006,5,segunda_liga
41,Estoril,Olhanense,0-1,https://www.besoccer.com/match/estoril/sc-olhanense/200698811,2006,5,segunda_liga
42,Desportivo Aves,Portimonense,0-0,https://www.besoccer.com/match/desportivo-aves/portimonense/200698813,2006,5,segunda_liga
43,FC Marco,Beira Mar SC,1-0,https://www.besoccer.com/match/fc-marco/beira-mar/200698812,2006,5,segunda_liga
44,Gondomar,Moreirense,1-1,https://www.besoccer.com/match/gondomar/moreirense-fc/200698810,2006,5,segunda_liga
45,Portimonense,Vizela,2-0,https://www.besoccer.com/match/portimonense/vizela/200698826,2006,6,segunda_liga
46,Ovarense,FC Marco,1-3,https://www.besoccer.com/match/ovarense/fc-marco/200698823,2006,6,segunda_liga
47,Varzim,Gondomar,0-3,https://www.besoccer.com/match/varzim/gondomar/200698824,2006,6,segunda_liga
48,Moreirense,FC Barreirense,1-0,https://www.besoccer.com/match/moreirense-fc/fc-barreirense/200698825,2006,6,segunda_liga
49,Feirense,FC Maia,0-2,https://www.besoccer.com/match/feirense/fc-maia/200698822,2006,6,segunda_liga
50,Beira Mar SC,Estoril,3-1,https://www.besoccer.com/match/beira-mar/estoril/200698819,2006,6,segunda_liga
51,Chaves,Desportivo Aves,0-1,https://www.besoccer.com/match/chaves/desportivo-aves/200698821,2006,6,segunda_liga
52,Olhanense,Leixões,1-0,https://www.besoccer.com/match/sc-olhanense/leixoes/200698820,2006,6,segunda_liga
53,CD Santa Clara,SP. Covilhã,0-0,https://www.besoccer.com/match/santa-clara/sporting-covilha/200698827,2006,6,segunda_liga
54,Vizela,FC Maia,0-2,https://www.besoccer.com/match/vizela/fc-maia/200698829,2006,7,segunda_liga
55,FC Barreirense,Varzim,1-1,https://www.besoccer.com/match/fc-barreirense/varzim/200698828,2006,7,segunda_liga
56,Portimonense,Chaves,1-0,https://www.besoccer.com/match/portimonense/chaves/200698836,2006,7,segunda_liga
57,FC Marco,CD Santa Clara,1-1,https://www.besoccer.com/match/fc-marco/santa-clara/200698835,2006,7,segunda_liga
58,Gondomar,Olhanense,1-2,https://www.besoccer.com/match/gondomar/sc-olhanense/200698833,2006,7,segunda_liga
59,SP. Covilhã,Feirense,0-1,https://www.besoccer.com/match/sporting-covilha/feirense/200698834,2006,7,segunda_liga
60,Estoril,Ovarense,3-2,https://www.besoccer.com/match/estoril/ovarense/200698830,2006,7,segunda_liga
61,Leixões,Beira Mar SC,0-0,https://www.besoccer.com/match/leixoes/beira-mar/200698832,2006,7,segunda_liga
62,Desportivo Aves,Moreirense,4-2,https://www.besoccer.com/match/desportivo-aves/moreirense-fc/200698831,2006,7,segunda_liga
