,Home_Team,Away_Team,Result,Link,Season,Round,League
0,SP. Covilhã,Leixões,2-1,https://www.besoccer.com/match/sporting-covilha/leixoes/201116636,2011,1,segunda_liga
1,Belenenses,Desportivo Aves,1-1,https://www.besoccer.com/match/belenenses/desportivo-aves/201116640,2011,1,segunda_liga
2,Varzim,Penafiel,3-4,https://www.besoccer.com/match/varzim/penafiel/201116634,2011,1,segunda_liga
3,Feirense,SC Freamunde,0-0,https://www.besoccer.com/match/feirense/sc-freamunde/201116635,2011,1,segunda_liga
4,Gil Vicente,Trofense,2-1,https://www.besoccer.com/match/gil-vicente/trofense/201116637,2011,1,segunda_liga
5,Moreirense,Estoril,1-0,https://www.besoccer.com/match/moreirense-fc/estoril/201116638,2011,1,segunda_liga
6,CD Santa Clara,Arouca,1-1,https://www.besoccer.com/match/santa-clara/arouca/201116641,2011,1,segunda_liga
7,UD Oliveirense,Fatima,1-0,https://www.besoccer.com/match/ud-oliveirense/fatima/201116639,2011,1,segunda_liga
8,Penafiel,Belenenses,0-0,https://www.besoccer.com/match/penafiel/belenenses/201116643,2011,2,segunda_liga
9,Leixões,CD Santa Clara,1-0,https://www.besoccer.com/match/leixoes/santa-clara/201116649,2011,2,segunda_liga
10,Arouca,Feirense,2-2,https://www.besoccer.com/match/arouca/feirense/201116642,2011,2,segunda_liga
11,Desportivo Aves,UD Oliveirense,3-0,https://www.besoccer.com/match/desportivo-aves/ud-oliveirense/201116646,2011,2,segunda_liga
12,Trofense,Moreirense,1-0,https://www.besoccer.com/match/trofense/moreirense-fc/201116647,2011,2,segunda_liga
13,SC Freamunde,Gil Vicente,0-1,https://www.besoccer.com/match/sc-freamunde/gil-vicente/201116648,2011,2,segunda_liga
14,Fatima,Varzim,1-0,https://www.besoccer.com/match/fatima/varzim/201116644,2011,2,segunda_liga
15,Estoril,SP. Covilhã,3-1,https://www.besoccer.com/match/estoril/sporting-covilha/201116645,2011,2,segunda_liga
16,Gil Vicente,Leixões,0-0,https://www.besoccer.com/match/gil-vicente/leixoes/201116654,2011,3,segunda_liga
17,Feirense,CD Santa Clara,1-0,https://www.besoccer.com/match/feirense/santa-clara/201116652,2011,3,segunda_liga
18,Varzim,Trofense,0-0,https://www.besoccer.com/match/varzim/trofense/201116650,2011,3,segunda_liga
19,Penafiel,Fatima,2-1,https://www.besoccer.com/match/penafiel/fatima/201116651,2011,3,segunda_liga
20,SP. Covilhã,SC Freamunde,1-0,https://www.besoccer.com/match/sporting-covilha/sc-freamunde/201116653,2011,3,segunda_liga
21,Moreirense,Desportivo Aves,1-0,https://www.besoccer.com/match/moreirense-fc/desportivo-aves/201116655,2011,3,segunda_liga
22,UD Oliveirense,Estoril,1-1,https://www.besoccer.com/match/ud-oliveirense/estoril/201116656,2011,3,segunda_liga
23,Belenenses,Arouca,1-0,https://www.besoccer.com/match/belenenses/arouca/201116657,2011,3,segunda_liga
24,Estoril,Penafiel,2-0,https://www.besoccer.com/match/estoril/penafiel/201116661,2011,4,segunda_liga
25,Desportivo Aves,Gil Vicente,1-2,https://www.besoccer.com/match/desportivo-aves/gil-vicente/201116662,2011,4,segunda_liga
26,Arouca,Moreirense,3-0,https://www.besoccer.com/match/arouca/moreirense-fc/201116658,2011,4,segunda_liga
