,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Varzim,Paços Ferreira,1-4,https://www.besoccer.com/match/varzim/pacos-ferreira/200510843,2005,1,segunda_liga
1,CD Santa Clara,Feirense,1-3,https://www.besoccer.com/match/santa-clara/feirense/200510844,2005,1,segunda_liga
2,Olhanense,Portimonense,2-1,https://www.besoccer.com/match/sc-olhanense/portimonense/200510845,2005,1,segunda_liga
3,Ovarense,Estrela Amadora,1-1,https://www.besoccer.com/match/ovarense/estrela-amadora/200510846,2005,1,segunda_liga
4,Espinho,Leixões,2-3,https://www.besoccer.com/match/espinho/leixoes/200510847,2005,1,segunda_liga
5,Alverca,FC Marco,1-1,https://www.besoccer.com/match/alverca/fc-marco/200510848,2005,1,segunda_liga
6,FC Felgueiras,Chaves,0-1,https://www.besoccer.com/match/fc-felgueiras/chaves/200510849,2005,1,segunda_liga
7,Desportivo Aves,Naval,0-1,https://www.besoccer.com/match/desportivo-aves/naval/200510850,2005,1,segunda_liga
8,Gondomar,FC Maia,3-0,https://www.besoccer.com/match/gondomar/fc-maia/200510851,2005,1,segunda_liga
9,FC Maia,Espinho,2-0,https://www.besoccer.com/match/fc-maia/espinho/200510842,2005,2,segunda_liga
10,Feirense,Desportivo Aves,1-5,https://www.besoccer.com/match/feirense/desportivo-aves/200510834,2005,2,segunda_liga
11,Leixões,Alverca,2-0,https://www.besoccer.com/match/leixoes/alverca/200510835,2005,2,segunda_liga
12,FC Marco,FC Felgueiras,0-0,https://www.besoccer.com/match/fc-marco/fc-felgueiras/200510836,2005,2,segunda_liga
13,Chaves,Varzim,0-0,https://www.besoccer.com/match/chaves/varzim/200510837,2005,2,segunda_liga
14,Portimonense,Gondomar,2-1,https://www.besoccer.com/match/portimonense/gondomar/200510838,2005,2,segunda_liga
15,Paços Ferreira,CD Santa Clara,2-1,https://www.besoccer.com/match/pacos-ferreira/santa-clara/200510839,2005,2,segunda_liga
16,Naval,Ovarense,1-2,https://www.besoccer.com/match/naval/ovarense/200510840,2005,2,segunda_liga
17,Estrela Amadora,Olhanense,2-0,https://www.besoccer.com/match/estrela-amadora/sc-olhanense/200510841,2005,2,segunda_liga
18,Varzim,CD Santa Clara,3-1,https://www.besoccer.com/match/varzim/santa-clara/200510832,2005,3,segunda_liga
19,Alverca,FC Maia,0-1,https://www.besoccer.com/match/alverca/fc-maia/200510833,2005,3,segunda_liga
20,Desportivo Aves,Paços Ferreira,1-0,https://www.besoccer.com/match/desportivo-aves/pacos-ferreira/200510825,2005,3,segunda_liga
21,Ovarense,Feirense,4-1,https://www.besoccer.com/match/ovarense/feirense/200510826,2005,3,segunda_liga
22,Olhanense,Naval,2-0,https://www.besoccer.com/match/sc-olhanense/naval/200510827,2005,3,segunda_liga
23,Gondomar,Estrela Amadora,0-2,https://www.besoccer.com/match/gondomar/estrela-amadora/200510828,2005,3,segunda_liga
24,FC Felgueiras,Leixões,0-0,https://www.besoccer.com/match/fc-felgueiras/leixoes/200510829,2005,3,segunda_liga
25,Chaves,FC Marco,0-2,https://www.besoccer.com/match/chaves/fc-marco/200510830,2005,3,segunda_liga
26,Espinho,Portimonense,1-3,https://www.besoccer.com/match/espinho/portimonense/200510831,2005,3,segunda_liga
27,CD Santa Clara,Desportivo Aves,0-2,https://www.besoccer.com/match/santa-clara/desportivo-aves/200510816,2005,4,segunda_liga
28,Paços Ferreira,Ovarense,1-1,https://www.besoccer.com/match/pacos-ferreira/ovarense/200510817,2005,4,segunda_liga
29,Portimonense,Alverca,0-1,https://www.besoccer.com/match/portimonense/alverca/200510818,2005,4,segunda_liga
30,Feirense,Olhanense,0-0,https://www.besoccer.com/match/feirense/sc-olhanense/200510819,2005,4,segunda_liga
31,Naval,Gondomar,3-1,https://www.besoccer.com/match/naval/gondomar/200510820,2005,4,segunda_liga
32,Estrela Amadora,Espinho,1-0,https://www.besoccer.com/match/estrela-amadora/espinho/200510821,2005,4,segunda_liga
33,FC Maia,FC Felgueiras,2-0,https://www.besoccer.com/match/fc-maia/fc-felgueiras/200510822,2005,4,segunda_liga
34,Leixões,Chaves,0-1,https://www.besoccer.com/match/leixoes/chaves/200510823,2005,4,segunda_liga
35,FC Marco,Varzim,3-0,https://www.besoccer.com/match/fc-marco/varzim/200510824,2005,4,segunda_liga
36,FC Marco,Leixões,2-1,https://www.besoccer.com/match/fc-marco/leixoes/200510807,2005,5,segunda_liga
37,FC Felgueiras,Portimonense,1-1,https://www.besoccer.com/match/fc-felgueiras/portimonense/200510808,2005,5,segunda_liga
38,Varzim,Desportivo Aves,1-0,https://www.besoccer.com/match/varzim/desportivo-aves/200510809,2005,5,segunda_liga
39,Ovarense,CD Santa Clara,1-0,https://www.besoccer.com/match/ovarense/santa-clara/200510810,2005,5,segunda_liga
40,Gondomar,Feirense,1-0,https://www.besoccer.com/match/gondomar/feirense/200510811,2005,5,segunda_liga
41,Espinho,Naval,0-0,https://www.besoccer.com/match/espinho/naval/200510812,2005,5,segunda_liga
42,Alverca,Estrela Amadora,0-1,https://www.besoccer.com/match/alverca/estrela-amadora/200510813,2005,5,segunda_liga
43,Chaves,FC Maia,0-2,https://www.besoccer.com/match/chaves/fc-maia/200510814,2005,5,segunda_liga
44,Olhanense,Paços Ferreira,1-0,https://www.besoccer.com/match/sc-olhanense/pacos-ferreira/200510815,2005,5,segunda_liga
45,FC Maia,FC Marco,0-0,https://www.besoccer.com/match/fc-maia/fc-marco/200510805,2005,6,segunda_liga
46,CD Santa Clara,Olhanense,3-2,https://www.besoccer.com/match/santa-clara/sc-olhanense/200510806,2005,6,segunda_liga
47,Naval,Alverca,1-0,https://www.besoccer.com/match/naval/alverca/200510798,2005,6,segunda_liga
48,Portimonense,Chaves,2-0,https://www.besoccer.com/match/portimonense/chaves/200510799,2005,6,segunda_liga
49,Estrela Amadora,FC Felgueiras,0-1,https://www.besoccer.com/match/estrela-amadora/fc-felgueiras/200510800,2005,6,segunda_liga
50,Leixões,Varzim,1-1,https://www.besoccer.com/match/leixoes/varzim/200510801,2005,6,segunda_liga
51,Desportivo Aves,Ovarense,3-0,https://www.besoccer.com/match/desportivo-aves/ovarense/200510802,2005,6,segunda_liga
52,Paços Ferreira,Gondomar,1-0,https://www.besoccer.com/match/pacos-ferreira/gondomar/200510803,2005,6,segunda_liga
53,Feirense,Espinho,1-2,https://www.besoccer.com/match/feirense/espinho/200510804,2005,6,segunda_liga
54,FC Felgueiras,Naval,1-2,https://www.besoccer.com/match/fc-felgueiras/naval/200510797,2005,7,segunda_liga
55,FC Marco,Portimonense,3-2,https://www.besoccer.com/match/fc-marco/portimonense/200510789,2005,7,segunda_liga
56,Gondomar,CD Santa Clara,1-1,https://www.besoccer.com/match/gondomar/santa-clara/200510790,2005,7,segunda_liga
57,Espinho,Paços Ferreira,2-2,https://www.besoccer.com/match/espinho/pacos-ferreira/200510791,2005,7,segunda_liga
58,Alverca,Feirense,1-0,https://www.besoccer.com/match/alverca/feirense/200510792,2005,7,segunda_liga
59,Chaves,Estrela Amadora,1-2,https://www.besoccer.com/match/chaves/estrela-amadora/200510793,2005,7,segunda_liga
60,Varzim,Ovarense,2-0,https://www.besoccer.com/match/varzim/ovarense/200510794,2005,7,segunda_liga
61,Olhanense,Desportivo Aves,2-1,https://www.besoccer.com/match/sc-olhanense/desportivo-aves/200510795,2005,7,segunda_liga
62,Leixões,FC Maia,0-1,https://www.besoccer.com/match/leixoes/fc-maia/200510796,2005,7,segunda_liga
63,FC Maia,Varzim,3-0,https://www.besoccer.com/match/fc-maia/varzim/200510787,2005,8,segunda_liga
64,Feirense,FC Felgueiras,1-0,https://www.besoccer.com/match/feirense/fc-felgueiras/200510788,2005,8,segunda_liga
65,CD Santa Clara,Espinho,2-1,https://www.besoccer.com/match/santa-clara/espinho/200510780,2005,8,segunda_liga
66,Paços Ferreira,Alverca,1-0,https://www.besoccer.com/match/pacos-ferreira/alverca/200510781,2005,8,segunda_liga
67,Naval,Chaves,2-0,https://www.besoccer.com/match/naval/chaves/200510782,2005,8,segunda_liga
68,Estrela Amadora,FC Marco,6-2,https://www.besoccer.com/match/estrela-amadora/fc-marco/200510783,2005,8,segunda_liga
69,Portimonense,Leixões,0-1,https://www.besoccer.com/match/portimonense/leixoes/200510784,2005,8,segunda_liga
70,Ovarense,Olhanense,4-2,https://www.besoccer.com/match/ovarense/sc-olhanense/200510785,2005,8,segunda_liga
71,Desportivo Aves,Gondomar,1-0,https://www.besoccer.com/match/desportivo-aves/gondomar/200510786,2005,8,segunda_liga
72,Alverca,CD Santa Clara,1-0,https://www.besoccer.com/match/alverca/santa-clara/200510779,2005,9,segunda_liga
73,Varzim,Olhanense,0-1,https://www.besoccer.com/match/varzim/sc-olhanense/200510771,2005,9,segunda_liga
74,FC Felgueiras,Paços Ferreira,1-2,https://www.besoccer.com/match/fc-felgueiras/pacos-ferreira/200510772,2005,9,segunda_liga
75,FC Maia,Portimonense,2-1,https://www.besoccer.com/match/fc-maia/portimonense/200510773,2005,9,segunda_liga
76,Leixões,Estrela Amadora,2-1,https://www.besoccer.com/match/leixoes/estrela-amadora/200510774,2005,9,segunda_liga
77,Gondomar,Ovarense,0-2,https://www.besoccer.com/match/gondomar/ovarense/200510775,2005,9,segunda_liga
78,Espinho,Desportivo Aves,1-0,https://www.besoccer.com/match/espinho/desportivo-aves/200510776,2005,9,segunda_liga
79,Chaves,Feirense,0-1,https://www.besoccer.com/match/chaves/feirense/200510777,2005,9,segunda_liga
80,FC Marco,Naval,0-0,https://www.besoccer.com/match/fc-marco/naval/200510778,2005,9,segunda_liga
81,CD Santa Clara,FC Felgueiras,1-3,https://www.besoccer.com/match/santa-clara/fc-felgueiras/200510765,2005,10,segunda_liga
82,Naval,Leixões,1-1,https://www.besoccer.com/match/naval/leixoes/200510766,2005,10,segunda_liga
83,Estrela Amadora,FC Maia,0-0,https://www.besoccer.com/match/estrela-amadora/fc-maia/200510767,2005,10,segunda_liga
84,Portimonense,Varzim,0-0,https://www.besoccer.com/match/portimonense/varzim/200510768,2005,10,segunda_liga
85,Feirense,FC Marco,2-2,https://www.besoccer.com/match/feirense/fc-marco/200510769,2005,10,segunda_liga
86,Ovarense,Espinho,3-3,https://www.besoccer.com/match/ovarense/espinho/200510770,2005,10,segunda_liga
87,Paços Ferreira,Chaves,1-1,https://www.besoccer.com/match/pacos-ferreira/chaves/200510762,2005,10,segunda_liga
88,Olhanense,Gondomar,1-1,https://www.besoccer.com/match/sc-olhanense/gondomar/200510763,2005,10,segunda_liga
89,Desportivo Aves,Alverca,0-2,https://www.besoccer.com/match/desportivo-aves/alverca/200510764,2005,10,segunda_liga
90,FC Felgueiras,Desportivo Aves,2-3,https://www.besoccer.com/match/fc-felgueiras/desportivo-aves/200510753,2005,11,segunda_liga
91,FC Maia,Naval,1-1,https://www.besoccer.com/match/fc-maia/naval/200510754,2005,11,segunda_liga
92,Portimonense,Estrela Amadora,1-1,https://www.besoccer.com/match/portimonense/estrela-amadora/200510755,2005,11,segunda_liga
93,Varzim,Gondomar,2-2,https://www.besoccer.com/match/varzim/gondomar/200510756,2005,11,segunda_liga
94,Espinho,Olhanense,1-0,https://www.besoccer.com/match/espinho/sc-olhanense/200510757,2005,11,segunda_liga
95,Alverca,Ovarense,0-2,https://www.besoccer.com/match/alverca/ovarense/200510758,2005,11,segunda_liga
96,Chaves,CD Santa Clara,0-0,https://www.besoccer.com/match/chaves/santa-clara/200510759,2005,11,segunda_liga
97,FC Marco,Paços Ferreira,1-1,https://www.besoccer.com/match/fc-marco/pacos-ferreira/200510760,2005,11,segunda_liga
98,Leixões,Feirense,3-1,https://www.besoccer.com/match/leixoes/feirense/200510761,2005,11,segunda_liga
99,CD Santa Clara,FC Marco,2-0,https://www.besoccer.com/match/santa-clara/fc-marco/200510744,2005,12,segunda_liga
100,Paços Ferreira,Leixões,2-1,https://www.besoccer.com/match/pacos-ferreira/leixoes/200510745,2005,12,segunda_liga
101,Estrela Amadora,Varzim,2-1,https://www.besoccer.com/match/estrela-amadora/varzim/200510746,2005,12,segunda_liga
102,Naval,Portimonense,5-0,https://www.besoccer.com/match/naval/portimonense/200510747,2005,12,segunda_liga
103,Gondomar,Espinho,1-0,https://www.besoccer.com/match/gondomar/espinho/200510748,2005,12,segunda_liga
