,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Chaves,UD Oliveirense,3-0,https://www.besoccer.com/match/chaves/ud-oliveirense/200210016,2002,1,segunda_liga
1,Espinho,Portimonense,2-2,https://www.besoccer.com/match/espinho/portimonense/200210008,2002,1,segunda_liga
2,Desportivo Aves,Ovarense,2-0,https://www.besoccer.com/match/desportivo-aves/ovarense/200210009,2002,1,segunda_liga
3,Académica,Penafiel,3-0,https://www.besoccer.com/match/academica/penafiel/200210010,2002,1,segunda_liga
4,Nacional,Naval,3-2,https://www.besoccer.com/match/nacional/naval/200210011,2002,1,segunda_liga
5,Estrela Amadora,Leça FC,0-0,https://www.besoccer.com/match/estrela-amadora/leca/200210012,2002,1,segunda_liga
6,Moreirense,FC Felgueiras,0-1,https://www.besoccer.com/match/moreirense-fc/fc-felgueiras/200210013,2002,1,segunda_liga
7,Rio Ave,FC Maia,0-0,https://www.besoccer.com/match/rio-ave/fc-maia/200210014,2002,1,segunda_liga
8,Uniao Lamas,Campomaiorense,0-1,https://www.besoccer.com/match/uniao-lamas/campomaiorense/200210015,2002,1,segunda_liga
9,Leça FC,Rio Ave,1-0,https://www.besoccer.com/match/leca/rio-ave/20029999,2002,2,segunda_liga
10,FC Maia,Uniao Lamas,0-0,https://www.besoccer.com/match/fc-maia/uniao-lamas/200210000,2002,2,segunda_liga
11,Campomaiorense,Espinho,4-0,https://www.besoccer.com/match/campomaiorense/espinho/200210001,2002,2,segunda_liga
12,Portimonense,Chaves,1-1,https://www.besoccer.com/match/portimonense/chaves/200210002,2002,2,segunda_liga
13,UD Oliveirense,Desportivo Aves,1-2,https://www.besoccer.com/match/ud-oliveirense/desportivo-aves/200210003,2002,2,segunda_liga
14,Ovarense,Académica,2-2,https://www.besoccer.com/match/ovarense/academica/200210004,2002,2,segunda_liga
15,Penafiel,Nacional,0-2,https://www.besoccer.com/match/penafiel/nacional/200210005,2002,2,segunda_liga
16,Naval,Moreirense,5-0,https://www.besoccer.com/match/naval/moreirense-fc/200210006,2002,2,segunda_liga
17,FC Felgueiras,Estrela Amadora,1-3,https://www.besoccer.com/match/fc-felgueiras/estrela-amadora/200210007,2002,2,segunda_liga
18,Chaves,Campomaiorense,1-2,https://www.besoccer.com/match/chaves/campomaiorense/20029997,2002,3,segunda_liga
19,Académica,UD Oliveirense,2-1,https://www.besoccer.com/match/academica/ud-oliveirense/20029998,2002,3,segunda_liga
20,Estrela Amadora,Rio Ave,1-0,https://www.besoccer.com/match/estrela-amadora/rio-ave/20029991,2002,3,segunda_liga
21,Espinho,FC Maia,3-1,https://www.besoccer.com/match/espinho/fc-maia/20029992,2002,3,segunda_liga
22,Uniao Lamas,Leça FC,1-1,https://www.besoccer.com/match/uniao-lamas/leca/20029993,2002,3,segunda_liga
23,Desportivo Aves,Portimonense,1-2,https://www.besoccer.com/match/desportivo-aves/portimonense/20029994,2002,3,segunda_liga
24,Nacional,Ovarense,4-0,https://www.besoccer.com/match/nacional/ovarense/20029995,2002,3,segunda_liga
25,Moreirense,Penafiel,1-1,https://www.besoccer.com/match/moreirense-fc/penafiel/20029996,2002,3,segunda_liga
26,UD Oliveirense,Nacional,1-1,https://www.besoccer.com/match/ud-oliveirense/nacional/20029983,2002,4,segunda_liga
27,Ovarense,Moreirense,2-0,https://www.besoccer.com/match/ovarense/moreirense-fc/20029984,2002,4,segunda_liga
28,Naval,Estrela Amadora,1-1,https://www.besoccer.com/match/naval/estrela-amadora/20029985,2002,4,segunda_liga
29,Rio Ave,Uniao Lamas,0-1,https://www.besoccer.com/match/rio-ave/uniao-lamas/20029986,2002,4,segunda_liga
30,Leça FC,Espinho,1-0,https://www.besoccer.com/match/leca/espinho/20029987,2002,4,segunda_liga
31,FC Maia,Chaves,1-3,https://www.besoccer.com/match/fc-maia/chaves/20029988,2002,4,segunda_liga
32,Campomaiorense,Desportivo Aves,0-2,https://www.besoccer.com/match/campomaiorense/desportivo-aves/20029989,2002,4,segunda_liga
33,Portimonense,Académica,2-0,https://www.besoccer.com/match/portimonense/academica/20029990,2002,4,segunda_liga
34,Académica,Campomaiorense,2-1,https://www.besoccer.com/match/academica/campomaiorense/20029975,2002,5,segunda_liga
35,Desportivo Aves,FC Maia,2-1,https://www.besoccer.com/match/desportivo-aves/fc-maia/20029976,2002,5,segunda_liga
36,Nacional,Portimonense,1-1,https://www.besoccer.com/match/nacional/portimonense/20029977,2002,5,segunda_liga
37,Moreirense,UD Oliveirense,3-1,https://www.besoccer.com/match/moreirense-fc/ud-oliveirense/20029978,2002,5,segunda_liga
