,Home_Team,Away_Team,Result,Link,Season,Round,League
0,Olhanense,Académica,1-2,https://www.besoccer.com/match/sc-olhanense/academica/2017100739,2017,1,segunda_liga
1,Academico Viseu,Vizela,0-1,https://www.besoccer.com/match/academico-viseu/vizela/2017100738,2017,1,segunda_liga
2,Sporting CP II,Portimonense,1-2,https://www.besoccer.com/match/sporting-cp-ii/portimonense/2017100742,2017,1,segunda_liga
3,CD Santa Clara,Vitória,2-1,https://www.besoccer.com/match/santa-clara/vitoria-guimar/2017100732,2017,1,segunda_liga
4,Sporting Braga II,Fafe,1-1,https://www.besoccer.com/match/sporting-braga-ii/fafe/2017100735,2017,1,segunda_liga
5,SC Freamunde,União Madeira,0-1,https://www.besoccer.com/match/sc-freamunde/uniao-madeira/2017100736,2017,1,segunda_liga
6,Penafiel,SP. Covilhã,1-0,https://www.besoccer.com/match/penafiel/sporting-covilha/2017100740,2017,1,segunda_liga
7,Leixões,Famalicão,0-0,https://www.besoccer.com/match/leixoes/famalicao/2017100741,2017,1,segunda_liga
8,Benfica II,Cova Piedade,1-1,https://www.besoccer.com/match/benfica-ii/cova-piedade/2017100734,2017,1,segunda_liga
9,Gil Vicente,Varzim,1-0,https://www.besoccer.com/match/gil-vicente/varzim/2017100737,2017,1,segunda_liga
10,Desportivo Aves,Porto II,2-1,https://www.besoccer.com/match/desportivo-aves/porto-ii/2017100733,2017,1,segunda_liga
11,Vitória,Desportivo Aves,1-1,https://www.besoccer.com/match/vitoria-guimar/desportivo-aves/2017100748,2017,2,segunda_liga
12,Varzim,Benfica II,2-0,https://www.besoccer.com/match/varzim/benfica-ii/2017100749,2017,2,segunda_liga
13,União Madeira,Sporting Braga II,1-1,https://www.besoccer.com/match/uniao-madeira/sporting-braga-ii/2017100750,2017,2,segunda_liga
14,Vizela,Gil Vicente,2-2,https://www.besoccer.com/match/vizela/gil-vicente/2017100751,2017,2,segunda_liga
15,Famalicão,Olhanense,4-2,https://www.besoccer.com/match/famalicao/sc-olhanense/2017100746,2017,2,segunda_liga
16,SP. Covilhã,Sporting CP II,1-2,https://www.besoccer.com/match/sporting-covilha/sporting-cp-ii/2017100744,2017,2,segunda_liga
17,Académica,CD Santa Clara,0-1,https://www.besoccer.com/match/academica/santa-clara/2017100743,2017,2,segunda_liga
18,Fafe,SC Freamunde,2-2,https://www.besoccer.com/match/fafe/sc-freamunde/2017100745,2017,2,segunda_liga
19,Porto II,Academico Viseu,1-0,https://www.besoccer.com/match/porto-ii/academico-viseu/2017100747,2017,2,segunda_liga
20,Cova Piedade,Leixões,1-0,https://www.besoccer.com/match/cova-piedade/leixoes/2017100752,2017,2,segunda_liga
21,Portimonense,Penafiel,3-2,https://www.besoccer.com/match/portimonense/penafiel/2017100753,2017,2,segunda_liga
22,Benfica II,Gil Vicente,1-1,https://www.besoccer.com/match/benfica-ii/gil-vicente/2017100756,2017,3,segunda_liga
23,Portimonense,União Madeira,2-0,https://www.besoccer.com/match/portimonense/uniao-madeira/2017100760,2017,3,segunda_liga
24,Olhanense,SP. Covilhã,0-0,https://www.besoccer.com/match/sc-olhanense/sporting-covilha/2017100762,2017,3,segunda_liga
