,Home_Team,Away_Team,Link,Season,Round,League
0,Hannover 96,Fortuna Düsseldorf,https://www.besoccer.com/match/hannover-96/fortuna-dusseldorf/202216503,2022,30,2_liga
1,Sandhausen,FC St. Pauli,https://www.besoccer.com/match/sv-sandhausen/st-pauli/202216504,2022,30,2_liga
2,Dynamo Dresden,Holstein Kiel,https://www.besoccer.com/match/sg-dynamo-dresden/holstein-kiel/202216505,2022,30,2_liga
3,Hamburger SV,Karlsruher SC,https://www.besoccer.com/match/hamburger-sv/karlsruher-sc/202216500,2022,30,2_liga
4,Werder Bremen,Nürnberg,https://www.besoccer.com/match/werder-bremen/fc-nurnberg/202216499,2022,30,2_liga
5,Darmstadt 98,Schalke 04,https://www.besoccer.com/match/darmstadt-98/schalke-04/202216501,2022,30,2_liga
6,Heidenheim,Erzgebirge Aue,https://www.besoccer.com/match/heidenheim/fc-erzgebirge-aue/202216502,2022,30,2_liga
7,Hansa Rostock,Jahn Regensburg,https://www.besoccer.com/match/hansa-rostock/ssv-jahn-regensburg/202216506,2022,30,2_liga
8,Ingolstadt 04,Paderborn,https://www.besoccer.com/match/fc-ingolstadt-04/paderborn/202216507,2022,30,2_liga
