Home Team,Away Team,Link,Season,Round,League
Jahn Regensburg,Ingolstadt 04,https://www.besoccer.com/match/ssv-jahn-regensburg/fc-ingolstadt-04/202216498,2022,29,2_liga
Fortuna Düsseldorf,Hansa Rostock,https://www.besoccer.com/match/fortuna-dusseldorf/hansa-rostock/202216497,2022,29,2_liga
FC St. Pauli,Werder Bremen,https://www.besoccer.com/match/st-pauli/werder-bremen/202216490,2022,29,2_liga
Schalke 04,Heidenheim,https://www.besoccer.com/match/schalke-04/heidenheim/202216494,2022,29,2_liga
Erzgebirge Aue,Hannover 96,https://www.besoccer.com/match/fc-erzgebirge-aue/hannover-96/202216495,2022,29,2_liga
Nürnberg,Darmstadt 98,https://www.besoccer.com/match/fc-nurnberg/darmstadt-98/202216493,2022,29,2_liga
Holstein Kiel,Hamburger SV,https://www.besoccer.com/match/holstein-kiel/hamburger-sv/202216491,2022,29,2_liga
Paderborn,Karlsruher SC,https://www.besoccer.com/match/paderborn/karlsruher-sc/202216492,2022,29,2_liga
Sandhausen,Dynamo Dresden,https://www.besoccer.com/match/sv-sandhausen/sg-dynamo-dresden/202216496,2022,29,2_liga
