,Home_Team,Away_Team,Link,Season,Round,League
0,B. Dortmund,Wolfsburg,https://www.besoccer.com/match/borussia-dortmund/wolfsburg/202215806,2022,30,bundesliga
1,Mainz 05,Stuttgart,https://www.besoccer.com/match/mainz-amat/stuttgart/202215808,2022,30,bundesliga
2,FC Augsburg,Hertha BSC,https://www.besoccer.com/match/fc-augsburg/hertha-bsc/202215809,2022,30,bundesliga
3,SC Freiburg,VfL Bochum,https://www.besoccer.com/match/sc-freiburg/bochum/202215811,2022,30,bundesliga
4,B. Mönchengladbach,Köln,https://www.besoccer.com/match/borussia-monchengla/1-fc-koln/202215810,2022,30,bundesliga
5,Arminia Bielefeld,Bayern München,https://www.besoccer.com/match/arminia-bielefeld/bayern-munchen/202215804,2022,30,bundesliga
6,Union Berlin,Eintracht Frankfurt,https://www.besoccer.com/match/1-fc-union-berlin/eintracht-frankfurt/202215807,2022,30,bundesliga
7,Hoffenheim,Greuther Fürth,https://www.besoccer.com/match/tsg-1899-hoffenheim/greuther-furth/202215812,2022,30,bundesliga
8,B. Leverkusen,RB Leipzig,https://www.besoccer.com/match/bayer-leverkusen/rb-leipzig/202215805,2022,30,bundesliga
