Home Team,Away Team,Link,Season,Round,League
Stuttgart,B. Dortmund,https://www.besoccer.com/match/stuttgart/borussia-dortmund/202215795,2022,29,bundesliga
Greuther Fürth,B. Mönchengladbach,https://www.besoccer.com/match/greuther-furth/borussia-monchengla/202215798,2022,29,bundesliga
Köln,Mainz 05,https://www.besoccer.com/match/1-fc-koln/mainz-amat/202215801,2022,29,bundesliga
Bayern München,FC Augsburg,https://www.besoccer.com/match/bayern-munchen/fc-augsburg/202215802,2022,29,bundesliga
Wolfsburg,Arminia Bielefeld,https://www.besoccer.com/match/wolfsburg/arminia-bielefeld/202215803,2022,29,bundesliga
Hertha BSC,Union Berlin,https://www.besoccer.com/match/hertha-bsc/1-fc-union-berlin/202215797,2022,29,bundesliga
VfL Bochum,B. Leverkusen,https://www.besoccer.com/match/bochum/bayer-leverkusen/202215796,2022,29,bundesliga
Eintracht Frankfurt,SC Freiburg,https://www.besoccer.com/match/eintracht-frankfurt/sc-freiburg/202215799,2022,29,bundesliga
RB Leipzig,Hoffenheim,https://www.besoccer.com/match/rb-leipzig/tsg-1899-hoffenheim/202215800,2022,29,bundesliga
